,term,score
0,marmo,16.554184918026827
1,desiderio,15.621229141841471
2,settignano,10.26554554146259
3,sacramento,9.556379207269899
4,cassa,7.90017346036978
5,dottore,7.464006884249406
6,leggiadria,7.1298987149230735
7,marmi,6.839253339639045
8,graziosi,6.370919471513266
9,donato,6.313641072563772
10,sepoltura,6.304087293290131
11,tabernacolo,6.057074552249286
12,natura,5.681474054442957
13,1485,5.436751534363128
14,intelligenti,5.436751534363128
15,spinosi,5.436751534363128
16,vezzosa,5.436751534363128
17,guardarono,5.436751534363128
18,rilieva,5.436751534363128
19,freddi,5.436751534363128
20,partoriscono,5.436751534363128
21,agguagliar,5.436751534363128
22,troncogli,5.436751534363128
23,aiutate,5.436751534363128
24,villana,5.436751534363128
25,tondo,5.169538402976461
26,sbigottita,5.0312864262549635
27,egregiamente,5.0312864262549635
28,marietta,5.0312864262549635
29,stentate,5.0312864262549635
30,osso,5.0312864262549635
31,28,5.0312864262549635
32,storditi,5.0312864262549635
33,stimavano,5.0312864262549635
34,aspro,5.0312864262549635
35,quegli,4.957685701334601
36,veggono,4.882038521618274
37,mirabilissima,4.743604353803183
38,troncò,4.743604353803183
39,epigrammi,4.743604353803183
40,diè,4.743604353803183
41,arpie,4.743604353803183
42,graziata,4.743604353803183
43,viticci,4.743604353803183
44,gianfigliazzi,4.743604353803183
45,istudio,4.743604353803183
46,alma,4.743604353803183
47,piove,4.743604353803183
48,dorma,4.743604353803183
49,fanciulli,4.737397198459022
50,infinita,4.55950222642603
51,piumose,4.520460802488973
52,van,4.520460802488973
53,beata,4.520460802488973
54,omai,4.520460802488973
55,nicchia,4.435751418989854
56,piè,4.3961461643974955
57,distanza,4.338139245695018
58,continuandosi,4.338139245695018
59,secchi,4.338139245695018
60,david,4.338139245695018
61,brancacci,4.338139245695018
62,marsupini,4.338139245695018
63,maravigliano,4.338139245695018
64,simplicità,4.338139245695018
65,piume,4.338139245695018
66,carlo,4.245131059381205
67,montelupo,4.18398856586776
68,superati,4.18398856586776
69,delicata,4.18398856586776
70,lapida,4.18398856586776
71,bastato,4.18398856586776
72,elle,4.173694894177046
73,ai,4.128925571450126
74,ingegno,4.077642271372227
75,eravi,4.050457173243238
76,toglieva,4.050457173243238
77,filo,4.050457173243238
78,veggonsi,3.932674137586854
79,oscura,3.932674137586854
80,tirano,3.932674137586854
81,scoperte,3.8273136219290276
82,solita,3.8273136219290276
83,abbozzata,3.732003442124703
84,peli,3.732003442124703
85,leggiadra,3.732003442124703
86,sonvi,3.732003442124703
87,esperienza,3.732003442124703
88,delli,3.644992065135073
89,ali,3.644992065135073
90,intendono,3.644992065135073
91,gentilezza,3.5649493574615367
92,imitatore,3.5649493574615367
93,fermò,3.5649493574615367
94,intesi,3.5649493574615367
95,angioletti,3.4908413853078146
96,rende,3.4908413853078146
97,vinto,3.4908413853078146
98,piace,3.4908413853078146
99,sonetti,3.4908413853078146
100,esercitato,3.4908413853078146
101,scarpello,3.4908413853078146
102,maiano,3.4908413853078146
103,solamente,3.4463589353176407
104,rendono,3.4218485138208634
105,dover,3.4218485138208634
106,giorgio,3.39816383215952
107,bassi,3.3573099926832923
108,nasce,3.3573099926832923
109,fanciulletto,3.3573099926832923
110,lavorato,3.305123800889734
111,imitazione,3.2966853708668573
112,rilievi,3.2966853708668573
113,aggiugnere,3.239526957026909
114,segretario,3.239526957026909
115,operò,3.239526957026909
116,basso,3.238078416812447
117,ritrasse,3.216220275748066
118,eterna,3.185459735756633
119,duro,3.185459735756633
120,usanza,3.185459735756633
121,avvenire,3.185459735756633
122,avrebbe,3.185459735756633
123,quantunque,3.185459735756633
124,portano,3.134166441369082
125,èvvi,3.134166441369082
126,penitenza,3.134166441369082
127,perfezzione,3.1311010469104748
128,bellissime,3.0898624725050032
129,rimasero,3.0853762771996505
130,lione,3.0853762771996505
131,stima,3.0853762771996505
132,mettersi,3.0853762771996505
133,murate,3.0388562615647574
134,antichità,3.0388562615647574
135,vivace,3.0388562615647574
136,celeste,2.994404498993924
137,stupire,2.994404498993924
138,rilievo,2.9710156315634015
139,universalmente,2.951844884575128
140,mia,2.951844884575128
141,sull,2.951844884575128
142,duca,2.9141397609223345
143,morta,2.9110228900548725
144,testa,2.8955349755977076
145,su,2.8771016653878596
146,accompagnato,2.8718021769015913
147,benché,2.8718021769015913
148,maddalena,2.8718021769015913
149,femmine,2.8340618489187444
150,sdegno,2.8340618489187444
151,cappella,2.8227996872559578
152,grandissima,2.805021792421466
153,carmine,2.7976942047478692
154,inclinato,2.7976942047478692
155,nostro,2.7699331731196466
156,miglia,2.7626028849365993
157,operato,2.7626028849365993
158,fogliami,2.7626028849365993
159,dono,2.7626028849365993
160,guardaroba,2.7287013332609185
161,disegnate,2.695911510437927
162,conosciuta,2.695911510437927
163,artifizio,2.695911510437927
164,nulla,2.695911510437927
165,feste,2.664162812123347
166,basamento,2.664162812123347
167,fosse,2.664162812123347
168,strozzi,2.664162812123347
169,perdita,2.664162812123347
170,trinita,2.6333911534565932
171,arie,2.6333911534565932
172,levato,2.6333911534565932
173,imitare,2.6333911534565932
174,dolse,2.6333911534565932
175,vecchiezza,2.603538190306912
176,obligo,2.603538190306912
177,penna,2.603538190306912
178,famoso,2.603538190306912
179,mestiero,2.603538190306912
180,ché,2.5463797764669636
181,tenuti,2.466337068793427
182,mette,2.466337068793427
183,sculture,2.441019260809137
184,cambio,2.4163266482187655
185,viva,2.392229096639705
186,destra,2.392229096639705
187,dolce,2.392229096639705
188,poter,2.392229096639705
189,difficile,2.392229096639705
190,certa,2.392229096639705
191,mirabile,2.368698599229511
192,facilità,2.368698599229511
193,abito,2.368698599229511
194,entrando,2.345709081004812
195,baccio,2.345709081004812
196,mostrano,2.345709081004812
197,giovanezza,2.345709081004812
198,novella,2.323236225152754
199,carte,2.3012573184339784
200,tengono,2.3012573184339784
201,sarà,2.2586977040151828
202,potere,2.2586977040151828
203,monache,2.2380784168124466
204,bonissimo,2.2380784168124466
205,dir,2.217875709494927
206,continuamente,2.1980730821987478
207,signoria,2.1980730821987478
208,riuscì,2.1786549963416464
209,servi,2.159606801370952
210,lei,2.140914668358799
211,proprio,2.1225655296906023
212,legno,2.1225655296906023
213,poca,2.1225655296906023
214,possa,2.1225655296906023
215,parenti,2.1225655296906023
216,battista,2.1225655296906023
217,dicono,2.1045470241879243
218,bell,2.1045470241879243
219,fanciullo,2.086847447088523
220,aretino,2.086847447088523
221,pregio,2.086847447088523
222,colonna,2.0694557043766544
223,gloria,2.0523612710173538
224,par,2.0523612710173538
225,difficultà,2.0523612710173538
226,occhi,2.0523612710173538
227,presente,2.0523612710173538
228,dare,2.035554152700973
229,atteso,2.035554152700973
230,natività,2.035554152700973
231,bronzo,2.035554152700973
232,piccola,2.002764329877982
233,vide,1.9867639885315407
234,condotti,1.9867639885315407
235,agnolo,1.9710156315634015
236,benedetto,1.9710156315634015
237,somma,1.9710156315634015
238,sta,1.9555114450274362
239,seco,1.9555114450274362
240,dar,1.9555114450274362
241,infiniti,1.9402439728966479
242,professione,1.9252060955321073
243,pietra,1.9103910097469667
244,scultura,1.8957922103258142
245,mettere,1.867218837881758
246,piena,1.8258336217189037
247,ognuno,1.812410601386763
248,mi,1.7991653746367424
249,persone,1.7860932930693896
250,alto,1.7860932930693896
251,gesù,1.7860932930693896
252,disse,1.7731898882334818
253,arme,1.7731898882334818
254,siano,1.7731898882334818
255,vicino,1.760450862456052
256,tosto,1.760450862456052
257,arebbe,1.7478720802491918
258,signore,1.7354495602506348
259,agl,1.7231794676588204
260,bellezza,1.687247458432757
261,numero,1.687247458432757
262,bontà,1.6755514186695657
263,finì,1.6639905962684898
264,cosimo,1.6639905962684898
265,cielo,1.6412623451909336
266,man,1.6300890445928085
267,spirito,1.6190392084062235
268,però,1.6190392084062235
269,altar,1.608110137874033
270,amici,1.608110137874033
271,signor,1.5972992217698176
272,avuto,1.5972992217698176
273,lasciò,1.5866039326530696
274,parti,1.5760218233225327
275,degli,1.5347788647884835
276,fatiche,1.5347788647884835
277,teste,1.5247285289349821
278,buono,1.5049259016388024
279,figura,1.5049259016388024
280,pure,1.4951697266934376
281,finita,1.4664596208110063
282,grandissimo,1.4570698804611673
283,mondo,1.4570698804611673
284,fiorentino,1.4570698804611673
285,bello,1.4477674877988538
286,angeli,1.4385508326939298
287,ornamento,1.4385508326939298
288,studio,1.4385508326939298
289,lorenzo,1.4294183491306574
290,morto,1.4294183491306574
291,età,1.4294183491306574
292,certi,1.4294183491306574
293,solo,1.4203685136107393
294,condusse,1.4113998436279789
295,croce,1.402510896210733
296,dall,1.393700266528578
297,particolarmente,1.393700266528578
298,facciata,1.3763085238167088
299,sé,1.3592140904574088
300,fa,1.3592140904574088
301,polesine,0.0
302,poggiuolo,0.0
303,poggibonzi,0.0
304,poggini,0.0
305,poche,0.0
306,pocci,0.0
