,term,score
0,spinello,118.64672227979986
1,capella,40.75222611482021
2,arezzo,32.72850362404582
3,fresco,23.397244904884047
4,dipinse,22.02093638106734
5,fraternità,21.69069622847509
6,iacopo,19.952125242250286
7,aretini,17.454206926539072
8,nunziata,14.019350309145873
9,storia,12.783316622496654
10,epiro,10.873503068726256
11,petito,10.873503068726256
12,gabriello,10.472524155923445
13,casentino,10.472524155923445
14,finita,10.265217345677044
15,antonio,10.134372414591976
16,quest,10.123484750596543
17,saracini,10.062572852509927
18,diocliziano,10.062572852509927
19,cini,10.062572852509927
20,1334,10.062572852509927
21,compagnia,9.817576273475131
22,dagl,9.626030477660537
23,madonna,9.519623595918418
24,apparve,9.487208707606365
25,barone,9.487208707606365
26,abate,9.402499324107247
27,apostoli,9.197196368873412
28,essa,9.088669188490885
29,zebedeo,9.040921604977946
30,fattole,9.040921604977946
31,fuor,8.971018360160626
32,portico,8.733068670164617
33,allato,8.638427205483808
34,tempera,8.418188096751697
35,parri,8.36797713173552
36,monasterio,8.347389788354093
37,simone,8.287808654809798
38,facciata,8.257851142900252
39,lavorare,8.206348680751905
40,generale,8.186103999782755
41,tabernacolo,8.076099402999048
42,rovinato,7.90017346036978
43,presentato,7.865348275173708
44,combattono,7.865348275173708
45,paglia,7.865348275173708
46,infermi,7.865348275173708
47,ingegnosamente,7.865348275173708
48,limosine,7.865348275173708
49,desiderio,7.810614570920736
50,cittadini,7.700824382128429
51,lucifero,7.654627243858055
52,sant,7.556942406836548
53,trinità,7.556942406836548
54,oliveto,7.556942406836548
55,risoluta,7.464006884249406
56,faccia,7.412930383628073
57,spoglie,7.289984130270146
58,fuori,7.285349402305837
59,giotto,7.176687289919116
60,ricevono,7.1298987149230735
61,bernardo,7.037127243014436
62,croce,7.012554481053666
63,pieve,6.969708675458262
64,duomo,6.941798241002539
65,lunga,6.79632766431904
66,damiano,6.714619985366585
67,monache,6.71423525043734
68,colori,6.610247601779468
69,benissimo,6.610247601779468
70,canto,6.610247601779468
71,sedere,6.535964989024939
72,camposanto,6.479053914053818
73,luca,6.478820404112856
74,dipignere,6.432440551496132
75,insino,6.432440551496132
76,usavano,6.370919471513266
77,pisani,6.370919471513266
78,là,6.346415730612279
79,santi,6.346415730612279
80,bianca,6.268332882738164
81,stefano,6.26054234126557
82,pisa,6.157083813052061
83,dare,6.106662458102919
84,ossa,6.077712523129515
85,gregorio,5.988808997987848
86,sale,5.988808997987848
87,madre,5.960291965594622
88,collo,5.913046894690204
89,monte,5.903753459062201
90,lungamente,5.903689769150256
91,lì,5.822045780109745
92,vivamente,5.822045780109745
93,dipinta,5.820731918689944
94,stata,5.791069951195415
95,angeli,5.754203330775719
96,portata,5.743604353803183
97,filippo,5.644210418621144
98,mille,5.5953884094957385
99,peste,5.5953884094957385
100,dirimpetto,5.5596977877210545
101,membra,5.525205769873199
102,serpente,5.525205769873199
103,ai,5.505234095266835
104,paura,5.457402666521837
105,picchiar,5.436751534363128
106,fracida,5.436751534363128
107,strignendogli,5.436751534363128
108,coraggiosi,5.436751534363128
109,galluzzo,5.436751534363128
110,guiderdonate,5.436751534363128
111,essamina,5.436751534363128
112,avanzatolo,5.436751534363128
113,unge,5.436751534363128
114,aquilone,5.436751534363128
115,vergognosi,5.436751534363128
116,toccandogli,5.436751534363128
117,pagani,5.436751534363128
118,sovvenirgli,5.436751534363128
119,disavedutamente,5.436751534363128
120,picciolezza,5.436751534363128
121,destatasi,5.436751534363128
122,piissimi,5.436751534363128
123,guelfe,5.436751534363128
124,appiccarla,5.436751534363128
125,dardano,5.436751534363128
126,congiugnerle,5.436751534363128
127,tramutano,5.436751534363128
128,gelato,5.436751534363128
129,monizione,5.436751534363128
130,accattando,5.436751534363128
131,conficca,5.436751534363128
132,antichissime,5.436751534363128
133,collocandola,5.436751534363128
134,maii,5.436751534363128
135,tasche,5.436751534363128
136,teologico,5.436751534363128
137,stocchi,5.436751534363128
138,mensis,5.436751534363128
139,settantasette,5.436751534363128
140,spiritaticcio,5.436751534363128
141,apostata,5.436751534363128
142,piovendo,5.436751534363128
143,donazioni,5.436751534363128
144,seteria,5.436751534363128
145,intonacato,5.436751534363128
146,ereditò,5.436751534363128
147,abruciati,5.436751534363128
148,traboccato,5.436751534363128
149,albergetti,5.436751534363128
150,assonzione,5.436751534363128
151,sepellendo,5.436751534363128
152,pozzolatico,5.436751534363128
153,soccorse,5.436751534363128
154,accortamente,5.436751534363128
155,cavalliere,5.436751534363128
156,disegnarla,5.436751534363128
157,clemens,5.436751534363128
158,graniti,5.436751534363128
159,1367,5.436751534363128
160,appruova,5.436751534363128
161,andare,5.397496123910227
162,tramezzo,5.391823020875854
163,fede,5.281352587368156
164,cominciando,5.2667823069131865
165,vescovo,5.243616240747576
166,misericordia,5.207076380613824
167,poveri,5.207076380613824
168,agl,5.169538402976461
169,oro,5.0972457482392795
170,figurò,5.092759552933927
171,madalena,5.092759552933927
172,matteo,5.037961604557698
173,cavalcando,5.0312864262549635
174,memorabili,5.0312864262549635
175,1380,5.0312864262549635
176,trapassar,5.0312864262549635
177,mantenuti,5.0312864262549635
178,rischio,5.0312864262549635
179,immaginazione,5.0312864262549635
180,spirino,5.0312864262549635
181,sollevata,5.0312864262549635
182,92,5.0312864262549635
183,tentano,5.0312864262549635
184,rossaccio,5.0312864262549635
185,machiavelli,5.0312864262549635
186,iacet,5.0312864262549635
187,saccheggiata,5.0312864262549635
188,svegliatosi,5.0312864262549635
189,1385,5.0312864262549635
190,ghibelline,5.0312864262549635
191,consegrata,5.0312864262549635
192,buttata,5.0312864262549635
193,allacciatolo,5.0312864262549635
194,alessandria,5.0312864262549635
195,tagliarono,5.0312864262549635
196,freschissime,5.0312864262549635
197,puraccioli,5.0312864262549635
198,idoli,5.0312864262549635
199,domanda,5.0312864262549635
200,mont,5.0312864262549635
201,domandandolo,5.0312864262549635
202,1361,5.0312864262549635
203,bruttissima,5.0312864262549635
204,1338,5.0312864262549635
205,discreti,5.0312864262549635
206,convenutosi,5.0312864262549635
207,aprivano,5.0312864262549635
208,dedicati,5.0312864262549635
209,busti,5.0312864262549635
210,perseguiti,5.0312864262549635
211,catino,5.0312864262549635
212,spinoso,5.0312864262549635
213,offerivano,5.0312864262549635
214,lanfranchi,5.0312864262549635
215,portare,4.932674137586854
216,tempio,4.85711762521867
217,spirito,4.85711762521867
218,ricevuto,4.832653296437531
219,seppe,4.832653296437531
220,altar,4.824330413622099
221,amici,4.824330413622099
222,tenuta,4.824330413622099
223,mostrando,4.78445819327941
224,convertiti,4.743604353803183
225,dicianove,4.743604353803183
226,bari,4.743604353803183
227,amatori,4.743604353803183
228,consuetudine,4.743604353803183
229,crepare,4.743604353803183
230,devota,4.743604353803183
231,tremito,4.743604353803183
232,imparata,4.743604353803183
233,pergentino,4.743604353803183
234,gambacorti,4.743604353803183
235,sagrazione,4.743604353803183
236,1400,4.743604353803183
237,tagliano,4.743604353803183
238,scorno,4.743604353803183
239,sotterrare,4.743604353803183
240,esserciti,4.743604353803183
241,ghibellini,4.743604353803183
242,forzore,4.743604353803183
243,cuius,4.743604353803183
244,mirabile,4.737397198459022
245,pratica,4.696651570365712
246,sul,4.634793708757504
247,memoria,4.60433659436545
248,dai,4.60433659436545
249,morti,4.602514636867957
250,spedale,4.55950222642603
251,brutta,4.520460802488973
252,dedicato,4.520460802488973
253,giustino,4.520460802488973
254,resti,4.520460802488973
255,1348,4.520460802488973
256,trapassò,4.520460802488973
257,scosse,4.520460802488973
258,fornace,4.520460802488973
259,fanciullino,4.520460802488973
260,morirsi,4.520460802488973
261,voltarla,4.520460802488973
262,xv,4.520460802488973
263,1539,4.520460802488973
264,nono,4.520460802488973
265,appiccata,4.520460802488973
266,oltr,4.520460802488973
267,spedaletto,4.520460802488973
268,devozione,4.520460802488973
269,contraffatto,4.520460802488973
270,capiva,4.520460802488973
271,lasci,4.520460802488973
272,situato,4.520460802488973
273,onorarla,4.520460802488973
274,figura,4.514777704916407
275,quattro,4.485509180080313
276,parimente,4.485509180080313
277,patria,4.485509180080313
278,pur,4.485509180080313
279,acquistato,4.476156833624893
280,dieci,4.476156833624893
281,imperatore,4.435751418989854
282,don,4.3961461643974955
283,giuliano,4.357309992683293
284,bello,4.343302463396562
285,abandonare,4.338139245695018
286,adoperano,4.338139245695018
287,1383,4.338139245695018
288,continui,4.338139245695018
289,pie,4.338139245695018
290,laurentino,4.338139245695018
291,dovunque,4.338139245695018
292,rettori,4.338139245695018
293,marsupini,4.338139245695018
294,comanda,4.338139245695018
295,mirabilmente,4.338139245695018
296,cavalca,4.338139245695018
297,usci,4.338139245695018
298,osteria,4.338139245695018
299,fiata,4.338139245695018
300,fieri,4.338139245695018
301,colorirla,4.338139245695018
302,ricavato,4.338139245695018
303,avvenuto,4.338139245695018
304,giovacchino,4.338139245695018
305,pasquale,4.338139245695018
306,rosa,4.338139245695018
307,spaventato,4.338139245695018
308,ginocchioni,4.319213602741904
309,continuo,4.319213602741904
310,età,4.2882550473919725
311,morto,4.2882550473919725
312,mostra,4.281829336717598
313,lavorando,4.281829336717598
314,fuoco,4.281829336717598
315,lei,4.281829336717598
316,magi,4.281829336717598
317,parenti,4.245131059381205
318,donato,4.2090940483758486
319,tondi,4.2090940483758486
320,badia,4.2090940483758486
321,compiacque,4.18398856586776
322,vece,4.18398856586776
323,vittorioso,4.18398856586776
324,raggi,4.18398856586776
325,vangelisti,4.18398856586776
326,conferma,4.18398856586776
327,famosa,4.18398856586776
328,fecit,4.18398856586776
329,ritraendovi,4.18398856586776
330,tangere,4.18398856586776
331,umane,4.18398856586776
332,acquistar,4.18398856586776
333,corpus,4.18398856586776
334,lapida,4.18398856586776
335,avezzo,4.18398856586776
336,tormenti,4.18398856586776
337,cieli,4.18398856586776
338,partendo,4.18398856586776
339,mostrandogli,4.18398856586776
340,seguitar,4.18398856586776
341,colosseo,4.18398856586776
342,gridare,4.18398856586776
343,antichissima,4.18398856586776
344,antichissimo,4.18398856586776
345,niello,4.18398856586776
346,novanta,4.18398856586776
347,noli,4.18398856586776
348,spinelli,4.18398856586776
349,sana,4.18398856586776
350,buon,4.181100799585734
351,tale,4.173694894177046
352,ad,4.15489975967947
353,esser,4.15489975967947
