,term,score
0,agnolo,45.33335952595824
1,agostino,43.07948669147051
2,sanesi,23.501169948783048
3,argento,19.938500441573503
4,scultori,18.94958879383609
5,cesello,18.081843209955892
6,cione,16.73595426347104
7,smaltate,16.310254603089383
8,vescovo,15.730848722242726
9,condussono,15.730696550347416
10,arezzo,15.401648764256858
11,sepoltura,14.184196409902794
12,bologna,14.019350309145873
13,marmo,13.544333114749222
14,scultura,13.2705454722807
15,castello,12.972628171349127
16,giotto,11.961145483198525
17,pietramala,11.798022412760561
18,siena,11.733068670164617
19,1326,10.873503068726256
20,vescovado,10.075923209115397
21,magister,9.487208707606365
22,orvieto,9.256128831598952
23,chiusi,9.040921604977946
24,1343,9.040921604977946
25,feciono,8.952313667249786
26,luoghi,8.798757724866038
27,publico,8.393082614243607
28,saccone,8.36797713173552
29,millesimo,8.36797713173552
30,fondò,8.100914346486476
31,fortezza,7.99248843637004
32,ora,7.933019663265348
33,iacopo,7.6738943239424176
34,costoro,7.4769376655900635
35,conte,7.4769376655900635
36,dottore,7.464006884249406
37,finita,7.332298104055032
38,vernia,7.289984130270146
39,fonte,7.248979944656297
40,testa,7.238837438994269
41,opus,7.1298987149230735
42,hoc,6.981682770615629
43,aretini,6.981682770615629
44,azzurro,6.981682770615629
45,duomo,6.941798241002539
46,chiamava,6.843697027641727
47,bolognesi,6.714619985366585
48,occasione,6.653627128484781
49,chiamati,6.593370741733715
50,minutamente,6.370919471513266
51,pisani,6.370919471513266
52,dai,6.139115459153934
53,migliori,6.0989141157399285
54,essa,6.059112792327256
55,menzione,5.960291965594622
56,chiaramente,5.822045780109745
57,domenico,5.754203330775719
58,lavorarono,5.743604353803183
59,mediante,5.7311730292409
60,discepoli,5.7311730292409
61,sei,5.687376630977443
62,lungo,5.687376630977443
63,tante,5.687376630977443
64,nicola,5.5953884094957385
65,legato,5.5953884094957385
66,ad,5.539866346239293
67,fratello,5.518317821324047
68,questi,5.47089912050127
69,trovandosi,5.457402666521837
70,arrende,5.436751534363128
71,saldature,5.436751534363128
72,rifà,5.436751534363128
73,operae,5.436751534363128
74,fontebranda,5.436751534363128
75,duodecima,5.436751534363128
76,antenati,5.436751534363128
77,fronzoli,5.436751534363128
78,portan,5.436751534363128
79,montenero,5.436751534363128
80,leonardum,5.436751534363128
81,arricchirono,5.436751534363128
82,giglion,5.436751534363128
83,napoleone,5.436751534363128
84,rondine,5.436751534363128
85,allungandole,5.436751534363128
86,esercitarono,5.436751534363128
87,scontra,5.436751534363128
88,dictae,5.436751534363128
89,aurific,5.436751534363128
90,augustinus,5.436751534363128
91,serrandolo,5.436751534363128
92,1329,5.436751534363128
93,penassono,5.436751534363128
94,1317,5.436751534363128
95,contenuto,5.436751534363128
96,franc,5.436751534363128
97,rampolli,5.436751534363128
98,conservator,5.436751534363128
99,settentrione,5.436751534363128
100,producono,5.436751534363128
101,chiassa,5.436751534363128
102,disfecero,5.436751534363128
103,factum,5.436751534363128
104,undecima,5.436751534363128
105,jacobi,5.436751534363128
106,considerabili,5.436751534363128
107,floren,5.436751534363128
108,assediato,5.436751534363128
109,pesarese,5.436751534363128
110,1190,5.436751534363128
111,edificarvi,5.436751534363128
112,dandolo,5.436751534363128
113,germogliano,5.436751534363128
114,malborghetto,5.436751534363128
115,laterino,5.436751534363128
116,fornirla,5.436751534363128
117,reggendo,5.436751534363128
118,1371,5.436751534363128
119,utilissimi,5.436751534363128
120,perirono,5.436751534363128
121,passarli,5.436751534363128
122,calduino,5.436751534363128
123,intervenendovi,5.436751534363128
124,lanfrani,5.436751534363128
125,cesellamento,5.436751534363128
126,sassa,5.436751534363128
127,cacciandone,5.436751534363128
128,bucine,5.436751534363128
129,1347,5.436751534363128
130,grosseto,5.436751534363128
131,milletrecentoquarantanove,5.436751534363128
132,mi,5.397496123910227
133,presa,5.391823020875854
134,lodevole,5.391823020875854
135,medesimi,5.358279879208169
136,lavorata,5.358279879208169
137,persone,5.358279879208169
138,architettura,5.319569664700445
139,arme,5.319569664700445
140,architetti,5.2667823069131865
141,ser,5.2667823069131865
142,numero,5.061742375298271
143,contento,5.037961604557698
144,lucignano,5.0312864262549635
145,legò,5.0312864262549635
146,semi,5.0312864262549635
147,intagliarono,5.0312864262549635
148,battifolle,5.0312864262549635
149,peppoli,5.0312864262549635
150,abati,5.0312864262549635
151,durarono,5.0312864262549635
152,esuli,5.0312864262549635
153,empierono,5.0312864262549635
154,descritta,5.0312864262549635
155,romena,5.0312864262549635
156,1321,5.0312864262549635
157,pagni,5.0312864262549635
158,portarlo,5.0312864262549635
159,ghibelline,5.0312864262549635
160,1308,5.0312864262549635
161,ghibellina,5.0312864262549635
162,lignano,5.0312864262549635
163,sapendosi,5.0312864262549635
164,1284,5.0312864262549635
165,giudicate,5.0312864262549635
166,apostolico,5.0312864262549635
167,mitera,5.0312864262549635
168,iacobello,5.0312864262549635
169,disiderano,5.0312864262549635
