,term,score
0,palma,35.64949357461537
1,apollinari,16.310254603089383
2,remi,16.310254603089383
3,rondinello,15.09385927876489
4,dipinse,13.763085238167088
5,altar,12.864881102992264
6,ravenna,12.741838943026533
7,tavole,12.412329217634372
8,bellino,11.798022412760561
9,caterina,11.641463837379888
10,dentrovi,11.4623460584818
11,dua,11.050411539746397
12,madalena,10.185519105867854
13,lorenzo,10.005928443914602
14,fecevi,9.556379207269899
15,ricanati,9.487208707606365
16,lotto,9.040921604977946
17,predella,8.952313667249786
18,vinezia,8.871502837979708
19,fé,8.615406530704774
20,averebbono,8.36797713173552
21,quadri,7.986496108849089
22,madonna,7.933019663265348
23,piccole,7.933019663265348
24,bellini,7.865348275173708
25,barche,7.865348275173708
26,avea,7.583168841303257
27,vien,7.464006884249406
28,sola,7.32305778242741
29,domenico,7.192754163469649
30,romagna,7.1298987149230735
31,elena,7.1298987149230735
32,giorgione,7.1298987149230735
33,aquino,6.981682770615629
34,beni,6.981682770615629
35,venti,6.903771955301935
36,tommaso,6.903771955301935
37,barbara,6.843697027641727
38,marco,6.655962385073959
39,aria,6.655962385073959
40,esprimere,6.593370741733715
41,perfette,6.479053914053818
42,nave,6.479053914053818
43,allo,6.478820404112856
44,ancona,6.370919471513266
45,furia,6.268332882738164
46,perfezzione,6.2622020938209495
47,loreto,6.170752554399301
48,finire,6.157083813052061
49,lode,6.019703606555209
50,gregorio,5.988808997987848
51,vergine,5.866534335082308
52,croce,5.610043584842932
53,sebastiano,5.5953884094957385
54,ieronimo,5.525205769873199
55,sagrificare,5.436751534363128
56,somergersi,5.436751534363128
57,mezz,5.436751534363128
58,vogadori,5.436751534363128
59,batezzato,5.436751534363128
60,ciuffi,5.436751534363128
61,appollinare,5.436751534363128
62,venegia,5.436751534363128
63,rafreddandosi,5.436751534363128
64,baleni,5.436751534363128
65,mantenendo,5.436751534363128
66,celebriamo,5.436751534363128
67,ravennati,5.436751534363128
68,consacra,5.436751534363128
69,mansuchi,5.436751534363128
70,cancio,5.436751534363128
71,du,5.436751534363128
72,conciano,5.436751534363128
73,cancionila,5.436751534363128
74,combattute,5.436751534363128
75,miracolosissima,5.436751534363128
76,vineziano,5.436751534363128
77,inviluppato,5.436751534363128
78,contrafanno,5.436751534363128
79,inimiche,5.436751534363128
80,sommesso,5.436751534363128
81,forore,5.436751534363128
82,odoni,5.436751534363128
83,lio,5.436751534363128
84,orrenda,5.436751534363128
85,niccolò,5.397496123910227
86,graziose,5.391823020875854
87,gesù,5.358279879208169
88,piedi,5.206348680751905
89,olio,5.206348680751905
90,braccio,5.0972457482392795
91,degne,5.092759552933927
92,fierezza,5.092759552933927
93,vincenzio,5.092759552933927
94,minori,5.092759552933927
95,quest,5.061742375298271
