,term,score
0,cimabue,80.21978320719091
1,giotto,21.530061869757347
2,greci,12.536665765476329
3,greca,12.15542504625903
4,goffa,12.151371519729715
5,campo,11.733068670164617
6,facciate,10.704573341793996
7,oro,10.194491496478559
8,dipinse,9.634159666716961
9,dante,9.556379207269899
10,novella,9.292944900611015
11,stata,8.686604926793123
12,oltramarino,8.676278491390036
13,ecce,8.676278491390036
14,ribattendo,8.676278491390036
15,posta,8.555290535632379
16,tavoletta,8.393082614243607
17,pisa,8.209445084069415
18,polvere,7.865348275173708
19,coro,7.822045780109745
20,dar,7.822045780109745
21,pittori,7.775938682098453
22,passò,7.700824382128429
23,crociera,7.654627243858055
24,quinta,7.654627243858055
25,piangendo,7.654627243858055
26,parole,7.468875351527032
27,guardiano,7.464006884249406
28,premiato,7.464006884249406
29,cioè,7.192754163469649
30,angeli,7.192754163469649
31,gesù,7.144373172277558
32,profilo,7.1298987149230735
33,quei,7.106095797688534
34,azzurro,6.981682770615629
35,sebbene,6.981682770615629
36,stelle,6.843697027641727
37,quest,6.748989833731028
38,opre,6.714619985366585
39,lume,6.653627128484781
40,opra,6.593370741733715
41,difetto,6.593370741733715
42,giudicato,6.593370741733715
43,via,6.520356178371234
44,man,6.520356178371234
45,allato,6.478820404112856
46,certo,6.432440551496132
47,lato,6.422744005076397
48,lei,6.422744005076397
49,proprie,6.268332882738164
50,maestri,6.220750945678763
51,finestre,6.106662458102919
52,quattro,5.9806789067737505
53,vergine,5.866534335082308
54,fama,5.828279521844669
55,portata,5.743604353803183
56,levata,5.743604353803183
57,natura,5.681474054442957
58,esser,5.539866346239293
59,simone,5.525205769873199
60,fresco,5.505234095266835
61,sé,5.436856361829635
62,immantenente,5.436751534363128
63,disdegnoso,5.436751534363128
64,terminano,5.436751534363128
65,pintura,5.436751534363128
66,pintore,5.436751534363128
67,oscurò,5.436751534363128
68,pecca,5.436751534363128
69,credidit,5.436751534363128
70,mater,5.436751534363128
71,novello,5.436751534363128
72,appuntata,5.436751534363128
73,tenet,5.436751534363128
74,affogata,5.436751534363128
75,contrastato,5.436751534363128
76,cimabos,5.436751534363128
77,adopra,5.436751534363128
78,comento,5.436751534363128
79,dichiarazione,5.436751534363128
80,castra,5.436751534363128
81,rossetta,5.436751534363128
82,omo,5.436751534363128
83,suam,5.436751534363128
84,cimabui,5.436751534363128
85,tenuit,5.436751534363128
86,tuus,5.436751534363128
87,hora,5.436751534363128
88,mulier,5.436751534363128
89,filius,5.436751534363128
