,term,score
0,basciano,20.209716892437577
1,mestiero,11.640563131210074
2,quadro,11.076149579267307
3,perder,10.464989801405835
4,omo,10.063648410481534
5,egli,9.623355828771443
6,notte,8.267765224069617
7,cristo,8.195029935727867
8,tempo,8.028387860798318
9,bella,7.384099719511538
10,adormentati,6.736572297479192
11,stamperete,6.736572297479192
12,amatelo,6.736572297479192
13,stampatosi,6.736572297479192
14,malagevolissimamente,6.736572297479192
15,suda,6.736572297479192
16,dormono,6.736572297479192
17,lomellini,6.736572297479192
18,finta,6.736572297479192
19,cornelio,6.736572297479192
20,hammelo,6.736572297479192
21,cambi,6.331107189371028
22,copiar,6.331107189371028
23,visiterò,6.331107189371028
24,primo,6.278520073781492
25,albero,6.043425116919247
26,superata,6.043425116919247
27,stupenda,6.043425116919247
28,orto,5.820281565605037
29,creder,5.820281565605037
30,doveria,5.820281565605037
31,prestato,5.820281565605037
32,amorevolissima,5.820281565605037
33,partirà,5.820281565605037
34,adora,5.820281565605037
35,più,5.683625170386168
36,ha,5.6640172879853425
37,messer,5.64450505417161
38,vedute,5.637960008811082
39,alfonso,5.637960008811082
40,men,5.637960008811082
41,crediatemi,5.637960008811082
42,abbia,5.495176501829835
43,degna,5.483809328983824
44,visitare,5.483809328983824
45,rendono,5.350277936359301
46,duplicate,5.350277936359301
47,attitudine,5.350277936359301
48,affetto,5.350277936359301
49,valente,5.232494900702918
50,peccato,5.232494900702918
51,risponderò,5.232494900702918
52,pari,5.232494900702918
53,apostoli,5.232494900702918
54,fatelo,5.127134385045092
55,posson,5.127134385045092
56,belli,5.031824205240767
57,brevemente,5.031824205240767
58,lasciate,4.944812828251137
59,amicissimo,4.8647701205776
60,manderete,4.8647701205776
61,figliolo,4.8647701205776
62,avete,4.838168367885763
63,rimetto,4.790662148423879
64,servi,4.790662148423879
65,cosa,4.784726222929597
66,mai,4.772588722239782
67,casa,4.759726941579201
68,raccomandazioni,4.721669276936927
69,sangue,4.657130755799356
70,24,4.657130755799356
71,jacopino,4.657130755799356
72,li,4.5528557670827166
73,un,4.476549818870133
74,vista,4.433987204485146
75,stato,4.386555030418377
76,manda,4.3386770246808215
77,21,4.294225262109988
78,merita,4.294225262109988
79,piè,4.251665647691191
80,difficultà,4.251665647691191
81,portato,4.171622940017656
82,lunedì,4.171622940017656
83,luglio,4.097514967863933
84,costì,4.0904488305000966
85,belle,4.062423648052663
86,né,4.027238151669434
87,siché,3.995732273553991
88,1570,3.995732273553991
89,generale,3.995732273553991
90,spesso,3.903358953422976
91,nello,3.8743714165497236
92,raccomandatemi,3.7921333183127515
93,domani,3.766157831909491
94,terra,3.740840023925201
95,monte,3.645529844120876
96,carissimo,3.6230569882688175
97,stefano,3.601078081550042
98,mesi,3.601078081550042
99,testa,3.5795718763290787
100,cavaliere,3.5378991799285107
101,sia,3.519677110117235
102,vede,3.517696472610991
103,somma,3.47847575945771
104,disse,3.47847575945771
105,amatemi,3.4594275644870156
106,essendo,3.4407354314748626
107,far,3.4319733450595358
108,delli,3.4223862928066664
109,consorte,3.404367787303988
110,farete,3.404367787303988
111,sarà,3.335336190517921
112,voi,3.3290567505085855
113,giudizio,3.3188456138658258
114,dirò,3.270836394679465
115,tanti,3.270836394679465
116,or,3.270836394679465
117,bene,3.2673234545475305
118,medici,3.2553322081435003
119,passato,3.225026858648171
120,viene,3.195612973441878
121,fatta,3.167039600997822
122,bartoli,3.139260036890746
123,tre,3.1256543848349674
124,venezia,3.112231364502827
125,cardinale,3.0859140561854534
126,mondo,3.0476928433652555
127,vostro,3.0162821167906433
128,me,3.000260669298486
129,niente,2.9753721817856293
130,anno,2.9638113593845534
131,santo,2.9638113593845534
132,lo,2.9581538509028205
133,abbi,2.9299098077088725
134,voglia,2.8971199848858813
135,ne,2.8915663947038936
136,cosimo,2.8758425864385964
137,dello,2.804746664754866
138,virtù,2.7949904898095017
139,de,2.7884760910287616
140,fratello,2.7757591278816136
141,magnifico,2.769428328006251
142,come,2.717963500073295
143,arò,2.693521029644642
144,francesco,2.693521029644642
145,oggi,2.6847873496758874
146,posso,2.650595984927608
147,sta,2.6175351226667196
148,amici,2.6175351226667196
149,dico,2.5621850275835545
150,osservandissimo,2.524444699600708
151,maestro,2.4190841839428816
