,term,score
0,guglielmo,202.82418421622882
1,sangalletti,197.39139356757983
2,osservandissimo,164.43941764865522
3,no,156.00662700000623
4,magnifica,122.2754644054103
5,bascio,112.27767340541239
6,affettuosissimo,95.15494107749842
7,dicie,94.43755299006494
8,bosco,68.8153482162205
9,bisognia,61.92367993118264
10,ocasione,52.46530721670275
11,dite,49.191278783785755
12,negozio,44.97488345946126
13,averà,39.87363348469409
14,serafino,39.87363348469409
15,affezionatissimo,37.94755791892044
16,ongni,36.21860432432658
17,vole,36.21860432432658
18,rinuccini,35.05708355486784
19,mdlxvii,35.05708355486784
20,asieme,32.55300615809156
21,averò,32.55300615809156
22,conforme,29.514767270271452
23,nepote,29.38057204135354
24,creda,28.97488345946126
25,1569,28.10930216216329
26,piacie,25.353023027028602
27,saperete,25.353023027028602
28,comesso,25.353023027028602
29,deve,25.298371945946958
30,marcantonio,25.298371945946958
31,1570,25.298371945946958
32,sadisfazione,25.18334746401732
33,addì,25.18334746401732
34,sodisfazione,23.816799973531786
35,faciessi,22.536696570986468
36,offero,22.229013308629668
37,alessandrino,21.731162594595943
38,siché,21.081976621622466
39,omo,21.081976621622466
40,auto,21.081976621622466
41,obbligatissimo,20.986122886681102
42,veda,20.986122886681102
43,prossima,20.986122886681102
44,comandatemi,20.64122664372755
45,medeximo,20.032619174210193
46,savona,20.032619174210193
47,liene,20.032619174210193
48,spedizione,19.920232378379616
49,costà,19.676511513514303
50,claudio,19.05343997882543
51,vorria,18.88751059801299
52,farlo,18.271046405406135
53,tavole,18.271046405406135
54,desiderio,18.271046405406135
55,modello,18.271046405406135
56,piaciere,18.10930216216329
57,averete,18.10930216216329
58,vedo,18.10930216216329
59,obbligato,17.52854177743392
60,nova,17.52854177743392
61,alegramente,17.52854177743392
62,disegnio,17.46565331392331
63,cardinal,17.46565331392331
64,potria,17.46565331392331
65,patrone,16.86558129729797
66,1568,16.86558129729797
67,favori,16.86558129729797
68,aviserò,16.298371945946958
69,comparso,15.87786664902119
70,comandi,15.460116189189808
71,possuto,15.460116189189808
72,adesso,15.460116189189808
73,ciesis,15.024464380657644
74,averia,15.024464380657644
75,referto,15.024464380657644
76,supplico,15.024464380657644
77,prezzo,14.69028602067677
78,basciato,14.69028602067677
79,atendete,14.69028602067677
80,possete,14.48744172973063
81,atende,14.48744172973063
82,altare,14.290079984119071
83,desiderate,14.054651081081644
84,visto,14.054651081081644
85,pianta,14.054651081081644
86,benissimo,14.054651081081644
87,omini,14.054651081081644
88,concino,12.702293319216952
89,dirà,12.702293319216952
90,sie,12.676511513514301
91,battista,12.676511513514301
92,padrone,12.676511513514301
93,xviii,12.676511513514301
94,avanti,12.649185972973479
95,1567,12.649185972973479
96,eccellenze,12.649185972973479
97,montalvo,12.649185972973479
98,giugno,12.649185972973479
99,centocinquanta,12.59167373200866
100,sopratutto,12.59167373200866
101,fornito,12.59167373200866
102,tovaglia,12.59167373200866
103,volsuto,12.59167373200866
104,recapito,12.520386983881371
105,raporto,12.520386983881371
106,valentomo,12.520386983881371
107,spedito,11.243720864865315
108,pensare,11.243720864865315
109,aspetta,11.243720864865315
110,saria,11.243720864865315
111,bisognio,11.243720864865315
112,amorevolezza,11.243720864865315
113,velo,11.114506654314834
114,servitori,11.114506654314834
115,atenda,10.865581297297972
116,servirò,10.865581297297972
117,voluntà,10.865581297297972
118,elezione,10.865581297297972
119,putto,10.865581297297972
120,devo,10.865581297297972
121,brevi,10.865581297297972
122,ocorre,10.865581297297972
123,remedio,10.865581297297972
124,fornire,10.865581297297972
125,vol,10.865581297297972
126,nepoti,10.493061443340551
127,tenermi,10.493061443340551
128,cierto,10.016309587105097
129,possere,10.016309587105097
130,dimattina,10.016309587105097
131,fateveli,10.016309587105097
132,ricieuto,10.016309587105097
133,somamente,10.016309587105097
134,dirli,9.838255756757151
135,vescovo,9.838255756757151
136,stava,9.838255756757151
137,verità,9.838255756757151
138,dà,9.838255756757151
139,vadia,9.526719989412715
140,errore,9.526719989412715
141,signora,9.526719989412715
142,lavorare,9.526719989412715
143,santissimi,9.054651081081644
144,comparse,9.054651081081644
145,xxv,9.054651081081644
146,supplica,9.054651081081644
147,venissi,8.432790648648986
148,stanze,8.432790648648986
149,particulare,8.432790648648986
150,resta,8.432790648648986
151,xx,8.432790648648986
152,manderà,8.432790648648986
153,mostro,8.432790648648986
154,scrivete,8.432790648648986
155,segua,8.432790648648986
156,venuta,8.432790648648986
157,venghiate,8.39444915467244
158,lassare,8.39444915467244
159,aere,8.39444915467244
160,xxx,8.39444915467244
161,ciera,8.39444915467244
162,mandatomi,8.39444915467244
163,fiorenze,8.39444915467244
164,porga,8.39444915467244
165,servirla,8.39444915467244
166,risposto,7.938933324510595
167,riceuto,7.938933324510595
168,provisione,7.938933324510595
169,cappelle,7.938933324510595
170,comandato,7.938933324510595
171,modelli,7.938933324510595
172,passare,7.938933324510595
173,cugino,7.938933324510595
174,montepulciano,7.938933324510595
175,pagherà,7.938933324510595
176,vista,7.938933324510595
177,xxi,7.938933324510595
178,afari,7.512232190328822
179,desiderandoli,7.512232190328822
180,posessione,7.512232190328822
181,careze,7.512232190328822
182,aff,7.512232190328822
183,scandaglio,7.512232190328822
184,longamente,7.512232190328822
185,lauda,7.512232190328822
186,adulazione,7.512232190328822
187,dugiento,7.512232190328822
188,sopracciò,7.512232190328822
189,vielli,7.512232190328822
190,facieva,7.512232190328822
191,dimani,7.512232190328822
192,raccomandazione,7.512232190328822
193,saperà,7.512232190328822
194,ventisette,7.512232190328822
195,ciela,7.512232190328822
196,giorgo,7.512232190328822
197,itendo,7.512232190328822
198,perseveri,7.512232190328822
199,solecitare,7.512232190328822
200,cie,7.512232190328822
201,venirà,7.512232190328822
202,gienova,7.512232190328822
203,intimazione,7.512232190328822
204,presenterò,7.512232190328822
205,basciateli,7.512232190328822
206,tampoco,7.512232190328822
207,doverà,7.243720864865315
208,palazo,7.243720864865315
209,ofizio,7.243720864865315
210,lasserò,7.243720864865315
211,mdlxvi,7.243720864865315
212,quatro,7.243720864865315
213,botticelli,7.243720864865315
214,anderò,7.243720864865315
215,sodisfatto,7.027325540540822
216,antonio,7.027325540540822
217,grazie,7.027325540540822
218,statue,7.027325540540822
219,manchi,7.027325540540822
220,consolazione,7.027325540540822
221,farne,7.027325540540822
222,vogliate,7.027325540540822
223,andate,7.027325540540822
224,pigli,7.027325540540822
225,farmi,7.027325540540822
226,comessione,7.027325540540822
227,sepultura,6.351146659608476
228,monsignore,6.351146659608476
229,bona,6.351146659608476
230,padroni,6.351146659608476
231,dificultà,6.351146659608476
232,volessi,6.351146659608476
233,melo,6.351146659608476
234,statua,6.351146659608476
235,parlare,6.351146659608476
236,pensiero,6.351146659608476
237,verrete,6.351146659608476
238,ringraziato,6.351146659608476
239,lassate,6.29583686600433
240,fatevi,6.29583686600433
241,digià,6.29583686600433
242,giovanbattista,6.29583686600433
243,collegio,6.29583686600433
244,ofizii,6.29583686600433
245,restando,6.29583686600433
246,efetto,6.29583686600433
247,vogla,6.29583686600433
248,inparare,6.29583686600433
249,solecita,6.29583686600433
250,basciare,6.29583686600433
251,adio,6.29583686600433
252,adornamento,6.29583686600433
253,respetto,6.29583686600433
254,bon,6.29583686600433
255,mancia,6.29583686600433
256,acomoderà,6.29583686600433
257,sollecitatore,6.29583686600433
258,narni,6.29583686600433
259,egregiamente,6.29583686600433
260,lodovico,6.29583686600433
261,referire,6.29583686600433
262,datomi,6.29583686600433
263,sadisfatto,6.29583686600433
264,vedrete,5.6218604324326575
265,michele,5.6218604324326575
266,rispose,5.6218604324326575
267,giulio,5.6218604324326575
268,materia,5.6218604324326575
269,avevi,5.6218604324326575
270,paressi,5.6218604324326575
271,intendo,5.6218604324326575
272,ricordi,5.6218604324326575
273,obligo,5.6218604324326575
274,vedete,5.6218604324326575
275,liberamente,5.6218604324326575
276,favor,5.6218604324326575
277,troverrà,5.432790648648986
278,parlarne,5.432790648648986
279,spendere,5.432790648648986
280,perpetuamente,5.432790648648986
281,ed,5.432790648648986
282,acomodare,5.432790648648986
283,resterò,5.432790648648986
284,veggiate,5.432790648648986
285,auti,5.432790648648986
286,risolverà,5.432790648648986
287,arcivescovo,5.432790648648986
288,degnia,5.432790648648986
289,scordi,5.432790648648986
290,seguirà,5.432790648648986
291,spedendo,5.432790648648986
292,saluto,5.432790648648986
293,xxvii,5.432790648648986
294,compra,5.432790648648986
295,xvi,5.432790648648986
296,trattare,5.432790648648986
297,xvii,5.432790648648986
298,addio,5.432790648648986
299,fornita,5.432790648648986
300,ancona,5.432790648648986
301,xiiii,5.432790648648986
302,possano,5.432790648648986
303,briga,5.432790648648986
304,stieno,5.432790648648986
305,arrivò,5.432790648648986
306,andato,5.432790648648986
307,xiii,5.432790648648986
308,pagherò,5.432790648648986
309,istarci,5.008154793552548
310,indorare,5.008154793552548
311,comprata,5.008154793552548
312,soleciterò,5.008154793552548
313,aiutatemene,5.008154793552548
314,lengnami,5.008154793552548
315,restati,5.008154793552548
316,quarantaquatro,5.008154793552548
317,monterosi,5.008154793552548
318,centosei,5.008154793552548
319,sarieno,5.008154793552548
320,remedierà,5.008154793552548
321,acomoda,5.008154793552548
322,corrivo,5.008154793552548
323,audienza,5.008154793552548
324,tioli,5.008154793552548
325,dificilmente,5.008154793552548
326,sorta,5.008154793552548
327,imortalarvi,5.008154793552548
328,atendiate,5.008154793552548
329,inpara,5.008154793552548
330,possuta,5.008154793552548
331,atendessi,5.008154793552548
332,motuproprio,5.008154793552548
333,comissione,5.008154793552548
334,obtenuto,5.008154793552548
335,pino,5.008154793552548
336,sengniata,5.008154793552548
337,obtenere,5.008154793552548
338,abazia,5.008154793552548
339,reprico,5.008154793552548
340,possesione,5.008154793552548
341,securo,5.008154793552548
342,stucatore,5.008154793552548
343,tolerare,5.008154793552548
344,imparticulare,5.008154793552548
345,comenda,5.008154793552548
346,pagassi,5.008154793552548
347,crederria,5.008154793552548
348,hauto,5.008154793552548
349,dettomi,5.008154793552548
350,prociesso,5.008154793552548
351,partichulare,5.008154793552548
352,cierti,5.008154793552548
353,acierti,5.008154793552548
354,buonissimo,5.008154793552548
355,istucatore,5.008154793552548
356,risico,5.008154793552548
357,sugietto,5.008154793552548
358,stagionato,5.008154793552548
359,medexima,5.008154793552548
360,comette,5.008154793552548
361,suplirò,5.008154793552548
362,indoratori,5.008154793552548
363,basciarli,5.008154793552548
364,conciesso,5.008154793552548
365,dettovi,5.008154793552548
366,desiderarei,5.008154793552548
367,medeximamente,5.008154793552548
368,arteficie,5.008154793552548
369,restarò,5.008154793552548
370,credenza,5.008154793552548
371,acepttare,5.008154793552548
372,respetti,5.008154793552548
373,ditecielo,5.008154793552548
374,agiuterà,5.008154793552548
375,parse,5.008154793552548
376,soderini,5.008154793552548
377,ricieute,5.008154793552548
