,term,score
0,vescovado,10.700555872718603
1,piaccia,7.584266636625503
2,persona,7.075798359857021
3,monsignor,6.995787690629623
4,degnissima,6.736572297479192
5,16000,6.736572297479192
6,parlandone,6.736572297479192
7,freddissimi,6.736572297479192
8,finimondo,6.736572297479192
9,dio,6.670672381035842
10,nevi,6.331107189371028
11,bonsi,6.043425116919247
12,miglorando,6.043425116919247
13,padrona,6.043425116919247
14,onesta,6.043425116919247
15,ven,6.043425116919247
16,speri,6.043425116919247
17,pastore,6.043425116919247
18,500,5.820281565605037
19,sperate,5.820281565605037
20,pensione,5.820281565605037
21,miglor,5.820281565605037
22,passò,5.637960008811082
23,dirmi,5.637960008811082
24,allogato,5.637960008811082
25,1500,5.637960008811082
26,ghiacci,5.483809328983824
27,avuti,5.350277936359301
28,testare,5.350277936359301
29,lettere,5.235070245333439
30,anime,5.232494900702918
31,facultà,5.232494900702918
32,domenico,5.127134385045092
33,1200,5.127134385045092
34,ier,5.127134385045092
35,etc,5.093835110905533
36,cavalier,5.063759356176451
37,baccio,5.031824205240767
38,ricasoli,5.031824205240767
39,iermattina,5.031824205240767
40,maraviglia,4.944812828251137
41,passi,4.944812828251137
42,venti,4.944812828251137
43,protonotario,4.8647701205776
44,cosa,4.784726222929597
45,darvi,4.721669276936927
46,scrivervi,4.721669276936927
47,forte,4.657130755799356
48,ma,4.622524559118769
49,rallegrato,4.5965061339829205
50,esser,4.529867008231246
51,piacer,4.385197040315714
52,nostro,4.30320963761724
53,abbiamo,4.294225262109988
54,difficultà,4.251665647691191
55,ai,4.251665647691191
56,occhi,4.251665647691191
57,passa,4.210843653170937
58,tempi,4.1338826120348084
59,signor,4.1258403953093
60,gran,4.072183863373551
61,finisca,4.062423648052663
62,camera,3.995732273553991
63,iersera,3.8743714165497236
64,febraio,3.7921333183127515
65,qui,3.745782832679199
66,aiuti,3.601078081550042
67,mia,3.5335179958063825
68,tanto,3.5127924217352895
69,ultimo,3.4594275644870156
70,ebbi,3.404367787303988
71,1572,3.369276467492718
72,oltre,3.369276467492718
73,agli,3.3353749158170367
74,chiesa,3.3188456138658258
75,quel,3.2979519244936157
76,bene,3.2673234545475305
77,medici,3.2553322081435003
78,nuova,3.225026858648171
79,sabato,3.225026858648171
80,sarebbe,3.2102117728630306
81,proposito,3.2102117728630306
82,arei,3.167039600997822
83,scrivo,3.1256543848349674
84,mie,3.1256543848349674
85,questa,3.054172289275542
86,giorni,2.987068221548821
87,tante,2.987068221548821
88,certo,2.9523826635609307
89,par,2.9410831083069975
90,sto,2.9299098077088725
91,pare,2.8345996279045473
92,scudi,2.76628038392707
93,della,2.727222775870779
94,vita,2.693521029644642
95,borghini,2.6847873496758874
96,posso,2.650595984927608
97,presto,2.650595984927608
98,vincenzo,2.6175351226667196
99,vero,2.6175351226667196
100,va,2.5545221548379855
101,osservandissimo,2.524444699600708
102,dell,2.425773172093678
103,maestro,2.4190841839428816
104,avete,2.4190841839428816
105,don,2.4058389571928607
106,senza,2.342123142806753
107,poco,2.146515749301149
108,già,2.0921813983378192
109,però,2.027042096166858
110,roma,1.9701339638949782
111,duca,1.8845420335595748
112,così,1.7292759046484507
113,quanto,1.6708177041618566
114,voi,1.6645283752542928
115,son,1.6489759622468079
116,ci,1.6428220966724294
117,vostro,1.5081410583953216
118,altro,1.4895482253187058
119,più,1.420906292596542
120,ha,1.4160043219963356
121,messer,1.4111262635429025
122,questo,1.3918485581169995
123,magnifico,1.3847141640031255
124,possiamo,0.0
125,poterete,0.0
126,poterò,0.0
127,potevi,0.0
128,possendo,0.0
129,posser,0.0
130,potevansi,0.0
131,posservi,0.0
132,poteranno,0.0
133,potere,0.0
134,possessione,0.0
135,possiate,0.0
136,possiano,0.0
137,possesso,0.0
138,possete,0.0
139,possi,0.0
140,potevano,0.0
141,possem,0.0
142,potergli,0.0
143,poterunt,0.0
144,posibile,0.0
145,potra,0.0
146,potiuntur,0.0
147,positis,0.0
148,poterne,0.0
149,positure,0.0
150,potiri,0.0
151,poterlo,0.0
152,poterle,0.0
153,potiate,0.0
154,possano,0.0
155,poterla,0.0
156,potervi,0.0
157,poson,0.0
158,poteria,0.0
159,poterà,0.0
160,potevo,0.0
161,posposto,0.0
162,poss,0.0
163,possa,0.0
164,poteva,0.0
165,postquam,0.0
166,poter,0.0
167,potessino,0.0
168,potendola,0.0
169,possuto,0.0
170,post,0.0
171,posta,0.0
172,poste,0.0
173,posiate,0.0
174,postea,0.0
175,poteste,0.0
176,posteri,0.0
177,potendo,0.0
178,potentati,0.0
179,potessin,0.0
180,posterità,0.0
181,potei,0.0
182,posti,0.0
183,potessimo,0.0
184,posticcio,0.0
185,posto,0.0
186,potea,0.0
187,postovi,0.0
188,potendovi,0.0
