,term,score
0,taddeo,86.0074128654291
1,giotto,35.88343644959558
2,ponte,22.764012748143198
3,gaddi,17.004371093512468
4,dipinse,15.139393761983797
5,dadi,15.09385927876489
6,capella,14.670801401335275
7,sancti,14.230813061409549
8,fresco,13.763085238167088
9,oltr,13.561382407466919
10,gaddo,13.014417737085054
11,descendenti,12.151371519729715
12,simone,11.050411539746397
13,villamagna,10.873503068726256
14,geronimo,10.873503068726256
15,casentino,10.472524155923445
16,scienze,10.472524155923445
17,fiorini,10.472524155923445
18,capitolo,10.414152761227648
19,storia,9.942579595275175
20,croce,9.817576273475131
21,gherardo,9.718580871080727
22,bugia,9.487208707606365
23,milano,9.292944900611015
24,fecero,9.129168108594518
25,rubaconte,9.040921604977946
26,offerta,9.040921604977946
27,tribunale,9.040921604977946
28,comune,8.855534653725385
29,florentia,8.676278491390036
30,pile,8.676278491390036
31,ciascuna,8.142216610803892
32,grano,8.100914346486476
33,grammatica,8.100914346486476
34,iesù,8.100914346486476
35,sagrestia,8.076099402999048
36,convento,7.947055954126163
37,santi,7.933019663265348
38,trinita,7.90017346036978
39,rovinato,7.90017346036978
40,1557,7.865348275173708
41,versi,7.723651960300979
42,nicolò,7.654627243858055
43,velo,7.654627243858055
44,morto,7.147091745653286
45,barca,7.1298987149230735
46,teologiche,7.1298987149230735
47,migliorare,6.981682770615629
48,botteghe,6.981682770615629
49,piedi,6.941798241002539
50,carraia,6.843697027641727
51,chiostro,6.776093112045548
52,pietre,6.776093112045548
53,diluvio,6.714619985366585
54,poiché,6.71423525043734
55,rovine,6.479053914053818
56,campanile,6.479053914053818
57,felicemente,6.479053914053818
58,nave,6.479053914053818
59,allato,6.478820404112856
60,spirito,6.476156833624894
61,altar,6.432440551496132
62,espresse,6.370919471513266
63,tempera,6.313641072563772
64,sepoltura,6.304087293290131
65,giudei,6.268332882738164
66,libera,6.268332882738164
67,ultima,6.26054234126557
68,crocifisso,6.170752554399301
69,lingua,6.170752554399301
70,nobiltà,6.170752554399301
71,andrea,6.0989141157399285
72,crucifisso,6.008292989633945
73,dottori,5.988808997987848
74,coperta,5.988808997987848
75,siede,5.988808997987848
76,agnolo,5.913046894690204
77,veste,5.903689769150256
78,sta,5.866534335082308
79,chiaramente,5.822045780109745
80,vivamente,5.822045780109745
81,refettorio,5.822045780109745
82,facesse,5.754203330775719
83,dimostra,5.5953884094957385
84,cena,5.525205769873199
85,begli,5.525205769873199
86,apostoli,5.518317821324047
87,sé,5.436856361829635
88,sovvenimento,5.436751534363128
89,eccitati,5.436751534363128
90,at,5.436751534363128
91,assaissime,5.436751534363128
92,commettersi,5.436751534363128
93,discepol,5.436751534363128
94,tubalcaino,5.436751534363128
95,diluvii,5.436751534363128
96,bugiarda,5.436751534363128
97,atrocissima,5.436751534363128
98,eleggendolo,5.436751534363128
99,piantargli,5.436751534363128
100,potuisse,5.436751534363128
101,sostenesse,5.436751534363128
102,divorato,5.436751534363128
103,imparatolo,5.436751534363128
104,taddeus,5.436751534363128
105,esseguita,5.436751534363128
106,buonacorso,5.436751534363128
107,bisognosi,5.436751534363128
108,votando,5.436751534363128
109,fracassata,5.436751534363128
110,bramoso,5.436751534363128
111,mcccxlii,5.436751534363128
112,amaste,5.436751534363128
113,nicolai,5.436751534363128
114,rigestro,5.436751534363128
115,spicchio,5.436751534363128
116,logica,5.436751534363128
117,orrevolissimi,5.436751534363128
118,altafronte,5.436751534363128
119,1467,5.436751534363128
120,chericati,5.436751534363128
121,ubbidire,5.436751534363128
122,disagiosa,5.436751534363128
123,raccomandandogli,5.436751534363128
124,acenni,5.436751534363128
125,verone,5.436751534363128
126,riquadrate,5.436751534363128
127,tarda,5.436751534363128
128,francisci,5.436751534363128
129,quarte,5.436751534363128
130,felix,5.436751534363128
131,eleate,5.436751534363128
132,elsa,5.436751534363128
133,dormirebbono,5.436751534363128
134,segua,5.436751534363128
135,poterat,5.436751534363128
136,bellacci,5.436751534363128
137,imitator,5.436751534363128
138,gittano,5.436751534363128
139,tremolante,5.436751534363128
140,1333,5.436751534363128
141,dici,5.436751534363128
142,resuscitar,5.436751534363128
143,tirandolo,5.436751534363128
144,solevarsi,5.436751534363128
145,impetrato,5.436751534363128
146,cardinalati,5.436751534363128
147,pescaia,5.436751534363128
148,gaddus,5.436751534363128
149,ario,5.436751534363128
150,allogatogli,5.436751534363128
151,porgendo,5.436751534363128
152,agitare,5.436751534363128
153,premiare,5.436751534363128
154,murandogli,5.436751534363128
155,prior,5.436751534363128
156,divenirvi,5.436751534363128
157,prepositure,5.436751534363128
158,sollecitamente,5.436751534363128
159,fraternamente,5.436751534363128
160,inarcando,5.436751534363128
161,tramezzo,5.391823020875854
162,colorita,5.391823020875854
163,ottimo,5.328325624246694
164,rimaso,5.328325624246694
165,miracolo,5.2667823069131865
166,tribuna,5.207076380613824
167,sinistra,5.149101306867319
168,verità,5.149101306867319
169,acque,5.037961604557698
170,guidano,5.0312864262549635
171,gabella,5.0312864262549635
172,piacciuta,5.0312864262549635
173,ottocento,5.0312864262549635
174,sollevati,5.0312864262549635
175,protettor,5.0312864262549635
176,ancudine,5.0312864262549635
177,inventor,5.0312864262549635
178,cennino,5.0312864262549635
179,vescovadi,5.0312864262549635
180,rettorica,5.0312864262549635
181,piccolissima,5.0312864262549635
182,badasse,5.0312864262549635
183,ammaestramenti,5.0312864262549635
184,cavalierati,5.0312864262549635
185,perdonando,5.0312864262549635
186,gravezze,5.0312864262549635
187,accrescer,5.0312864262549635
