,term,score
0,corriere,12.086850233838494
1,presente,9.907755278982137
2,onorato,8.970560997745395
3,potendovi,6.736572297479192
4,vergognai,6.736572297479192
5,partorisca,6.736572297479192
6,xxix,6.736572297479192
7,legature,6.736572297479192
8,brevissima,6.736572297479192
9,sarammi,6.331107189371028
10,finita,6.171828112370907
11,pierfrancesco,6.043425116919247
12,vetturale,6.043425116919247
13,adietro,6.043425116919247
14,aggiunta,6.043425116919247
15,piaciuta,6.043425116919247
16,ragionerò,5.820281565605037
17,1550,5.820281565605037
18,de,5.576952182057523
19,pigliare,5.350277936359301
20,xxii,5.232494900702918
21,solita,5.232494900702918
22,tolto,5.127134385045092
23,manderanno,5.127134385045092
24,giambullari,5.031824205240767
25,truovo,4.944812828251137
26,possino,4.8647701205776
27,scrivessi,4.790662148423879
28,sommamente,4.790662148423879
29,frutto,4.790662148423879
30,xv,4.790662148423879
31,vivete,4.790662148423879
32,penna,4.657130755799356
33,ma,4.622524559118769
34,siete,4.5965061339829205
35,parecchi,4.433987204485146
36,spedito,4.433987204485146
37,felice,4.294225262109988
38,libri,4.294225262109988
39,grato,4.294225262109988
40,materia,4.210843653170937
41,possibile,4.1338826120348084
42,ancora,4.018368957533703
43,carlo,3.9639835752394106
44,aretino,3.903358953422976
45,raccomandatemi,3.7921333183127515
46,carissimo,3.6230569882688175
47,nell,3.5585184671312464
48,fare,3.5059313515417108
49,manca,3.4594275644870156
50,diligenzia,3.4407354314748626
51,intendere,3.369276467492718
52,quanto,3.341635408323713
53,agli,3.3353749158170367
54,sono,3.335336190517921
55,ci,3.285644193344859
56,sabato,3.225026858648171
57,là,3.225026858648171
58,passato,3.225026858648171
59,dirvi,3.181224235989778
60,scrivere,3.181224235989778
61,due,3.167039600997822
62,questa,3.054172289275542
63,giorni,2.987068221548821
64,veggo,2.9638113593845534
65,marzo,2.9523826635609307
66,venire,2.9299098077088725
67,ne,2.8915663947038936
68,eccellentissimo,2.8864246957691333
69,più,2.841812585193084
70,buon,2.8245492920510458
71,messer,2.822252527085805
72,sempre,2.7949904898095017
73,pure,2.7757591278816136
74,pittore,2.76628038392707
75,avessi,2.7201892767268028
76,solo,2.6675455432413813
77,vostre,2.6339289324423962
78,amici,2.6175351226667196
79,firenze,2.5545221548379855
80,fu,2.517064592303085
81,volta,2.4529857356185625
82,fussi,2.432507204275022
83,credo,2.3798634707896005
84,qualche,2.35454566280531
85,animo,2.3057554986358784
86,ella,2.2764278835413583
87,stato,2.1932775152091883
88,prima,2.1826954058786514
89,opera,2.1214517806379325
90,però,2.027042096166858
91,roma,1.9701339638949782
92,quale,1.8923852110206008
93,quella,1.8093186123219873
94,sia,1.7598385550586175
95,tanto,1.7563962108676447
96,suo,1.74954686902207
97,sarà,1.6676680952589604
98,voi,1.6645283752542928
99,bene,1.6336617272737652
100,vostro,1.5081410583953216
101,me,1.500130334649243
102,altro,1.4895482253187058
103,lo,1.4790769254514102
104,tutto,1.468714138415864
105,ha,1.4160043219963356
106,come,1.3589817500366475
107,posato,0.0
108,posdomani,0.0
109,poscritta,0.0
110,posava,0.0
111,posatura,0.0
112,posassino,0.0
113,posati,0.0
114,posate,0.0
115,posassi,0.0
116,posarsi,0.0
117,posari,0.0
118,posarerete,0.0
119,posare,0.0
120,pose,0.0
121,prior,0.0
122,poseremo,0.0
123,posi,0.0
124,posano,0.0
125,principio,0.0
126,posiate,0.0
127,posibile,0.0
128,positis,0.0
129,positure,0.0
130,poson,0.0
131,posposto,0.0
132,poss,0.0
133,possa,0.0
134,possano,0.0
135,possem,0.0
136,posar,0.0
137,prestava,0.0
138,posando,0.0
139,portico,0.0
140,porterebbano,0.0
141,porterete,0.0
142,privare,0.0
143,pristina,0.0
144,portero,0.0
145,porterolle,0.0
146,porterà,0.0
147,porterò,0.0
148,porti,0.0
149,portiano,0.0
150,portiate,0.0
151,porticciuola,0.0
152,porticelle,0.0
153,portiere,0.0
154,posa,0.0
155,porto,0.0
156,priori,0.0
157,portogallo,0.0
158,portogalo,0.0
159,portono,0.0
160,portovi,0.0
161,portò,0.0
162,porvele,0.0
163,porvi,0.0
164,porzione,0.0
165,priore,0.0
166,posser,0.0
167,pos,0.0
168,possendo,0.0
169,posservi,0.0
170,principii,0.0
171,principi,0.0
172,postovi,0.0
173,principale,0.0
174,postquam,0.0
175,potea,0.0
176,potei,0.0
177,potendo,0.0
178,potendola,0.0
179,principal,0.0
180,primo,0.0
181,priminenze,0.0
182,potentati,0.0
183,potentia,0.0
184,potenza,0.0
185,potenzia,0.0
186,potenzie,0.0
187,poter,0.0
188,poteranno,0.0
189,potere,0.0
190,poterete,0.0
191,potergli,0.0
192,poteria,0.0
193,primieramente,0.0
194,poterla,0.0
195,primi,0.0
196,poterle,0.0
197,poterlo,0.0
198,poterne,0.0
199,potersi,0.0
200,prime,0.0
201,posto,0.0
202,posticcio,0.0
203,posti,0.0
204,possiede,0.0
205,privarmene,0.0
206,possessione,0.0
207,possesso,0.0
208,possete,0.0
209,possi,0.0
210,principessa,0.0
211,possiamo,0.0
212,possiano,0.0
213,possiate,0.0
214,possibil,0.0
215,principe,0.0
