,term,score
0,scritti,14.83443848475341
1,istampa,13.473144594958384
2,annotazione,13.473144594958384
3,tolomei,13.473144594958384
4,dolermi,12.086850233838494
5,agevolmente,12.086850233838494
6,cerimonie,11.275920017622164
7,priego,10.464989801405835
8,alcuna,10.056546102400254
9,voi,9.987170251525757
10,avete,9.676336735771526
11,dopo,9.581324296847757
12,mie,9.376963154504903
13,sola,8.677354049361643
14,voleva,8.503331295382383
15,chi,8.466053995989398
16,una,8.183529348274966
17,cosa,7.97454370488266
18,maniera,7.748742833099447
19,ma,7.704207598531282
20,voglio,7.202156163100084
21,corte,7.117036934262493
22,più,7.1045314629827105
23,veduto,7.035392945221982
24,senza,7.026369428420259
25,aggravo,6.736572297479192
26,esamina,6.736572297479192
27,advertirmi,6.736572297479192
28,dovevate,6.736572297479192
29,discussione,6.736572297479192
30,comparisse,6.736572297479192
31,cresima,6.736572297479192
32,appartatamente,6.736572297479192
33,promettevate,6.736572297479192
34,patiti,6.736572297479192
35,presentando,6.736572297479192
36,stracciate,6.736572297479192
37,solite,6.736572297479192
38,sareste,6.736572297479192
39,dotta,6.736572297479192
40,1551,6.736572297479192
41,indiritto,6.736572297479192
42,cavallari,6.736572297479192
43,balzasse,6.736572297479192
44,comparir,6.736572297479192
45,abbruciate,6.736572297479192
46,amichevolmente,6.736572297479192
47,dorrò,6.736572297479192
48,avidamente,6.736572297479192
49,proposito,6.420423545726061
50,stringo,6.331107189371028
51,procacciate,6.331107189371028
52,gravo,6.331107189371028
53,importanzia,6.331107189371028
54,degno,6.331107189371028
55,lenzoni,6.331107189371028
56,querele,6.331107189371028
57,sperarne,6.331107189371028
58,incommodo,6.331107189371028
59,guadagno,6.043425116919247
60,amorevolmente,6.043425116919247
61,comunque,6.043425116919247
62,osservato,6.043425116919247
63,ingannato,6.043425116919247
64,pierfrancesco,6.043425116919247
65,me,6.000521338596972
66,ve,5.904765327121861
67,dolgo,5.820281565605037
68,provato,5.820281565605037
69,disagi,5.820281565605037
70,rispondo,5.820281565605037
71,aspettava,5.820281565605037
72,ne,5.783132789407787
73,pare,5.669199255809095
74,insino,5.637960008811082
75,virtuosa,5.637960008811082
76,opra,5.637960008811082
77,notato,5.637960008811082
78,pure,5.551518255763227
79,nasca,5.483809328983824
80,satisfazzione,5.483809328983824
81,onorandissimo,5.483809328983824
82,avere,5.352258573865545
83,credeva,5.350277936359301
84,collera,5.350277936359301
85,lasciamo,5.350277936359301
86,fastidii,5.350277936359301
87,posso,5.301191969855216
88,possa,5.251396866611762
89,mandino,5.232494900702918
90,esse,5.232494900702918
91,mandiate,5.127134385045092
92,riputazione,5.031824205240767
93,giambullari,5.031824205240767
94,andate,5.031824205240767
95,quanto,5.01245311248557
96,pigliate,4.944812828251137
97,professione,4.944812828251137
98,bene,4.900985181821296
99,vivete,4.790662148423879
100,andando,4.790662148423879
101,troppa,4.721669276936927
102,pareva,4.721669276936927
103,sì,4.70909132561062
104,cose,4.706799763719815
105,vederla,4.657130755799356
106,ordinario,4.657130755799356
107,averne,4.5965061339829205
108,questa,4.581258433913313
109,quello,4.564450002451368
110,paia,4.539347720142972
111,trovare,4.539347720142972
112,avesse,4.539347720142972
113,avuta,4.539347720142972
114,vostro,4.524423175185965
115,faccenda,4.485280498872697
116,comodo,4.485280498872697
117,altro,4.468644675956117
118,caro,4.440466650395432
119,lo,4.43723077635423
120,veramente,4.433987204485146
121,carta,4.433987204485146
122,uno,4.3972217223691015
123,parto,4.385197040315714
124,molta,4.3386770246808215
125,questi,4.30320963761724
126,considerazione,4.294225262109988
127,libri,4.294225262109988
128,veduta,4.294225262109988
129,grato,4.294225262109988
130,felice,4.294225262109988
131,ricordatevi,4.251665647691191
132,xi,4.251665647691191
133,libro,4.251665647691191
134,parola,4.251665647691191
135,scritta,4.251665647691191
136,mandar,4.210843653170937
137,sappia,4.210843653170937
138,possibile,4.1338826120348084
139,tenuto,4.097514967863933
140,però,4.054084192333716
141,colori,4.028522096376982
142,fusse,3.995732273553991
143,carlo,3.9639835752394106
144,stesso,3.933211916572657
145,dubito,3.933211916572657
146,persone,3.903358953422976
147,aretino,3.903358953422976
148,dove,3.865102505491871
149,lunga,3.846200539583027
150,ora,3.8406622828223203
151,ordinato,3.818801565394913
152,finalmente,3.766157831909491
153,nessuno,3.766157831909491
154,potuto,3.645529844120876
155,facciate,3.645529844120876
156,danno,3.6230569882688175
157,benefizio,3.601078081550042
158,stia,3.5795718763290787
159,maggior,3.5585184671312464
160,fede,3.5378991799285107
161,persona,3.5378991799285107
162,sia,3.519677110117235
163,vede,3.517696472610991
164,così,3.4585518092969014
165,aveva,3.4407354314748626
166,sorte,3.404367787303988
167,miei,3.369276467492718
168,oltre,3.369276467492718
169,fuori,3.3353749158170367
170,sarà,3.335336190517921
171,manco,3.302585092994046
172,tanti,3.270836394679465
173,trovato,3.2553322081435003
174,punto,3.225026858648171
175,innanzi,3.181224235989778
176,lungo,3.0859140561854534
177,aprile,3.0476928433652555
178,servizio,3.0476928433652555
179,ancor,2.987068221548821
180,sue,2.9523826635609307
181,sto,2.9299098077088725
182,dir,2.907930900990097
183,voglia,2.8971199848858813
184,ché,2.8971199848858813
185,messer,2.822252527085805
186,insieme,2.804746664754866
187,questo,2.783697116233999
188,pittore,2.76628038392707
189,abbia,2.7475882509149177
190,gli,2.727222775870779
191,della,2.727222775870779
192,buona,2.7201892767268028
193,tempo,2.6761292869327726
194,presto,2.650595984927608
195,lettere,2.6175351226667196
196,essere,2.57768921411952
197,dico,2.5621850275835545
198,firenze,2.5545221548379855
199,conto,2.5097385522110125
200,hanno,2.5024657928819325
201,egli,2.4058389571928607
202,mai,2.386294361119891
203,col,2.3671244450121707
204,quelle,2.329853050214939
205,meglio,2.317731689682594
206,ella,2.2764278835413583
207,parte,2.236762627148927
208,grazia,2.2257127909623415
209,altra,2.2147837204301517
210,pur,2.2147837204301517
211,stato,2.1932775152091883
212,poco,2.146515749301149
213,opera,2.1214517806379325
214,altri,2.097000684773768
215,né,2.013619075834717
216,ancora,2.0091844787668514
217,roma,1.9701339638949782
218,poi,1.9449225445484823
219,qui,1.8728914163395995
220,ogni,1.7737276672192848
221,tanto,1.7563962108676447
222,suo,1.74954686902207
223,fatto,1.680326492130884
224,sono,1.6676680952589604
225,son,1.6489759622468079
226,un,1.4921832729567108
227,tutto,1.468714138415864
228,ha,1.4160043219963356
229,de,1.3942380455143808
230,magnifico,1.3847141640031255
231,come,1.3589817500366475
232,possono,0.0
233,possute,0.0
234,possuto,0.0
235,possino,0.0
236,post,0.0
237,posta,0.0
238,posson,0.0
239,poste,0.0
240,poter,0.0
241,postea,0.0
242,potessin,0.0
243,poterne,0.0
244,potersi,0.0
245,poterunt,0.0
246,potervi,0.0
247,poterà,0.0
248,poterò,0.0
249,potesse,0.0
250,potessero,0.0
251,potessi,0.0
252,potessimo,0.0
253,potessino,0.0
254,posteri,0.0
255,poteste,0.0
256,potesti,0.0
257,potestà,0.0
258,potete,0.0
259,potette,0.0
260,potetti,0.0
261,potettono,0.0
262,poteva,0.0
263,potevano,0.0
264,potevansi,0.0
265,poterlo,0.0
266,poterle,0.0
267,poterla,0.0
268,poteria,0.0
269,posterità,0.0
270,posti,0.0
271,posticcio,0.0
272,posto,0.0
273,postovi,0.0
274,postquam,0.0
275,potea,0.0
276,potei,0.0
277,potendo,0.0
278,potendola,0.0
279,potendovi,0.0
280,potentati,0.0
281,potentia,0.0
282,potenza,0.0
283,potenzia,0.0
284,potenzie,0.0
285,possiede,0.0
286,poteranno,0.0
287,potere,0.0
288,poterete,0.0
289,potergli,0.0
290,possin,0.0
291,posassi,0.0
292,possibilità,0.0
293,portero,0.0
294,portando,0.0
295,portano,0.0
296,portar,0.0
297,portare,0.0
298,portarebbe,0.0
299,portarlo,0.0
300,portarne,0.0
301,portaron,0.0
302,portarono,0.0
303,portarvi,0.0
304,portasi,0.0
305,portasse,0.0
306,portassi,0.0
307,portassino,0.0
308,portata,0.0
309,portate,0.0
310,portateci,0.0
311,portati,0.0
312,portato,0.0
313,portatomi,0.0
314,portator,0.0
315,portava,0.0
316,porte,0.0
317,porteranno,0.0
318,porterano,0.0
319,portercole,0.0
320,porterebbano,0.0
321,portai,0.0
322,portae,0.0
323,portaci,0.0
324,porgesse,0.0
325,pordenone,0.0
326,porebbe,0.0
327,poresti,0.0
328,poretta,0.0
329,porfidi,0.0
330,porfido,0.0
331,porga,0.0
332,porgano,0.0
333,porge,0.0
334,porger,0.0
335,porgermi,0.0
336,porgerà,0.0
337,porgessi,0.0
338,porta,0.0
339,porgessino,0.0
340,porgie,0.0
341,porgli,0.0
342,porgo,0.0
343,porian,0.0
344,porla,0.0
345,porlo,0.0
346,pormi,0.0
347,porre,0.0
348,porrei,0.0
349,porse,0.0
350,porsi,0.0
