,term,score
0,gaddo,65.07208868542527
1,musaico,31.17468033810619
2,domini,13.963365541231259
3,tafi,13.014417737085054
4,taddeo,12.741838943026533
5,cimabue,12.341505108798602
6,jacopo,11.481940865787083
7,perfecit,10.873503068726256
8,septembris,10.062572852509927
9,1420,10.062572852509927
10,capella,9.78053426755685
11,passerò,9.487208707606365
12,novella,9.292944900611015
13,beato,9.116568784694273
14,greca,9.116568784694273
15,cominciarono,8.983213496981772
16,gaddi,8.502185546756234
17,hanc,8.36797713173552
18,ragiona,8.36797713173552
19,ottobre,8.100914346486476
20,convento,7.947055954126163
21,edificazione,7.865348275173708
22,amicizia,7.248979944656297
23,conceduto,6.714619985366585
24,concetti,6.593370741733715
25,silenzio,6.479053914053818
26,spiriti,6.268332882738164
27,frati,6.2622020938209495
28,andrea,6.0989141157399285
29,dì,5.960291965594622
30,animi,5.822045780109745
31,arezzo,5.7756182865963215
32,dei,5.7311730292409
33,grandissima,5.610043584842932
34,legato,5.5953884094957385
35,sé,5.436856361829635
36,vicinus,5.436751534363128
37,alios,5.436751534363128
38,martinus,5.436751534363128
39,majestatis,5.436751534363128
40,amen,5.436751534363128
41,occidente,5.436751534363128
42,personaliter,5.436751534363128
43,visitantibus,5.436751534363128
44,consecrata,5.436751534363128
45,defraudano,5.436751534363128
46,passavanti,5.436751534363128
47,ecclesiae,5.436751534363128
48,mantennero,5.436751534363128
49,purgano,5.436751534363128
50,incepit,5.436751534363128
51,magnas,5.436751534363128
52,complevit,5.436751534363128
53,risguardando,5.436751534363128
54,arrecarono,5.436751534363128
55,guscia,5.436751534363128
56,nascevano,5.436751534363128
57,jesu,5.436751534363128
58,eamdem,5.436751534363128
59,indulgentias,5.436751534363128
60,abbracciasse,5.436751534363128
61,imaginem,5.436751534363128
62,providentia,5.436751534363128
63,settantatré,5.436751534363128
64,pervengono,5.436751534363128
65,benedictum,5.436751534363128
66,sepelito,5.436751534363128
67,serbandomi,5.436751534363128
68,1278,5.436751534363128
69,dispostosi,5.436751534363128
70,studiar,5.436751534363128
71,1264,5.436751534363128
72,imparano,5.436751534363128
73,frat,5.436751534363128
74,diabolicamente,5.436751534363128
75,conferite,5.436751534363128
76,septima,5.436751534363128
77,inceptae,5.436751534363128
78,rimanente,5.391823020875854
79,vescovo,5.243616240747576
80,tribuna,5.207076380613824
81,duomo,5.206348680751905
82,poche,5.037961604557698
83,possesso,5.0312864262549635
84,contulit,5.0312864262549635
85,nostrali,5.0312864262549635
86,migliorate,5.0312864262549635
87,nomen,5.0312864262549635
88,johannis,5.0312864262549635
89,1221,5.0312864262549635
90,ruggine,5.0312864262549635
91,promettevano,5.0312864262549635
92,aldobrandino,5.0312864262549635
93,solennissimamente,5.0312864262549635
94,ripoli,5.0312864262549635
95,spartasi,5.0312864262549635
96,conformità,5.0312864262549635
97,distendermi,5.0312864262549635
98,evangelistae,5.0312864262549635
99,chiare,5.0312864262549635
100,rifeciono,5.0312864262549635
101,turrita,5.0312864262549635
102,consecravit,5.0312864262549635
103,1321,5.0312864262549635
104,sangui,5.0312864262549635
105,scorza,5.0312864262549635
106,ecclesiam,5.0312864262549635
107,1308,5.0312864262549635
108,frequente,5.0312864262549635
109,salerno,5.0312864262549635
110,accrescer,5.0312864262549635
111,ritrovino,5.0312864262549635
112,arti,5.0266542560086975
113,tempio,4.85711762521867
114,giotto,4.78445819327941
115,seggio,4.743604353803183
116,conversi,4.743604353803183
117,riducono,4.743604353803183
118,apparecchiata,4.743604353803183
119,sit,4.743604353803183
120,tornaquinci,4.743604353803183
121,benivolenza,4.743604353803183
122,operarii,4.743604353803183
123,malizia,4.743604353803183
124,istius,4.743604353803183
125,beatae,4.743604353803183
126,abbruciò,4.743604353803183
127,ritrovavano,4.743604353803183
128,produce,4.743604353803183
129,pancrazio,4.743604353803183
130,essa,4.544334594245442
131,facili,4.520460802488973
132,dominus,4.520460802488973
133,sed,4.520460802488973
134,arrecare,4.520460802488973
135,mense,4.520460802488973
