,term,score
0,aristotile,206.67493558416749
1,iacone,71.15406530704774
2,scena,57.40970432893541
3,comedia,51.1247637886291
4,prospettiva,47.20430923339914
5,perino,32.93844948893316
6,duca,32.05553737014568
7,bacchiacca,31.64322561742281
8,medici,31.39856426056219
9,impresa,31.242458283682943
10,giorgio,27.18531065727616
11,arme,24.824658435268745
12,voi,23.614759076601025
13,ad,20.77449879839735
14,sarto,20.377160230384106
15,lorenzo,20.011856887829204
16,giovan,19.607894967074817
17,alessandro,18.17122365674786
18,fregio,17.743005675959417
19,disse,17.731898882334818
20,antonio,17.373209853586246
21,vasari,17.276854410967616
22,avea,17.06212989293233
23,nozze,17.004371093512468
24,cosimo,16.6399059626849
25,gallo,16.262653576069276
26,baie,16.201828692972953
27,volea,15.30925448771611
28,arco,14.39332299709394
29,cavallo,12.68687420970734
30,compagnia,12.622598065896598
31,apparato,12.594904011394245
32,musiche,12.55196569760328
33,rovesci,12.55196569760328
34,recitare,12.55196569760328
35,palco,12.461562775983438
36,ubertini,12.151371519729715
37,biasimare,12.151371519729715
38,quadro,11.810732209029299
39,stimare,11.798022412760561
40,cioè,11.508406661551438
41,musica,11.487208707606365
42,comedie,11.481940865787083
43,cardinale,11.41062331214966
44,storia,11.362948108885915
45,scudi,11.293488520075915
46,riso,11.196010326374108
47,onesto,11.196010326374108
48,bastiano,10.99036541099374
49,fecero,10.955001730313423
50,tolledo,10.93497619540522
51,cacciati,10.93497619540522
52,leni,10.873503068726256
53,mordeva,10.873503068726256
54,tragicomedia,10.873503068726256
55,baiocchi,10.873503068726256
56,cartonetto,10.873503068726256
57,letto,10.783646041751709
58,andrea,10.673099702544874
59,male,10.63913932940089
60,pareva,10.612827648453012
61,volere,10.522735120939622
62,sole,10.414152761227648
63,possibile,10.09512425374881
64,studio,10.06985582885751
65,buondelmonti,10.062572852509927
66,malignamente,10.062572852509927
67,montici,10.062572852509927
68,cura,9.933819942657703
69,trionfale,9.718580871080727
70,bronzino,9.718580871080727
71,francia,9.701219864483239
72,mura,9.665306592875062
73,quadri,9.583795330618905
74,povero,9.56891638655882
75,stette,9.551955048734834
76,impedire,9.487208707606365
77,intermedii,9.487208707606365
78,austria,9.402499324107247
79,fussero,9.26616297953509
80,troia,9.040921604977946
81,tranquillità,9.040921604977946
82,savoia,9.040921604977946
83,piloto,9.040921604977946
84,dite,9.040921604977946
85,genere,8.983213496981772
86,venuta,8.871502837979708
87,dire,8.8556301885933
88,tele,8.855534653725385
89,sentendo,8.733068670164617
90,pensò,8.733068670164617
91,giuliano,8.714619985366586
92,olio,8.677247801253174
93,andarsi,8.676278491390036
94,castro,8.676278491390036
95,scene,8.676278491390036
96,amico,8.4954095803988
97,napoli,8.49026211876241
98,dovere,8.393082614243607
99,uccidere,8.36797713173552
