,term,score
0,bologna,18.024878968901838
1,trevigi,15.09385927876489
2,girolamo,10.794992247820455
3,felicità,9.890056112600572
4,facciata,6.881542619083544
5,tardi,6.843697027641727
6,fortuna,6.478820404112856
7,petronio,6.370919471513266
8,vaso,5.5953884094957385
9,innanzi,5.437231804160289
10,estinte,5.436751534363128
11,udoni,5.436751534363128
12,gudizio,5.436751534363128
13,perseverano,5.436751534363128
14,giudicandoli,5.436751534363128
15,dolfi,5.436751534363128
16,fabbricasse,5.436751534363128
17,galiera,5.436751534363128
18,cannone,5.436751534363128
19,batteria,5.436751534363128
20,rovescia,5.436751534363128
21,provedendo,5.436751534363128
22,giuntogli,5.436751534363128
23,frescamente,5.436751534363128
24,insolita,5.436751534363128
25,coloritor,5.436751534363128
26,udone,5.436751534363128
27,cercandone,5.436751534363128
28,ingegniere,5.436751534363128
29,violentissima,5.436751534363128
30,propizii,5.436751534363128
31,piccardia,5.436751534363128
32,durargli,5.436751534363128
33,teofamini,5.436751534363128
34,accennano,5.436751534363128
35,olio,5.206348680751905
36,inglesi,5.0312864262549635
37,mdxliiii,5.0312864262549635
38,tossico,5.0312864262549635
39,esaltati,5.0312864262549635
40,lietissimo,5.0312864262549635
41,vedremo,5.0312864262549635
42,gode,5.0312864262549635
43,apparecchiato,5.0312864262549635
44,lodatissimi,5.0312864262549635
45,faccendosi,5.0312864262549635
46,ristori,5.0312864262549635
47,ringraziando,4.743604353803183
48,francesi,4.743604353803183
49,prove,4.743604353803183
50,artifici,4.743604353803183
51,amica,4.743604353803183
52,abondantissima,4.743604353803183
53,calamità,4.743604353803183
54,avvenne,4.737397198459022
55,fanciulli,4.737397198459022
56,re,4.634793708757504
57,edifici,4.520460802488973
58,trentasei,4.520460802488973
59,grasso,4.520460802488973
60,cosce,4.520460802488973
61,perviene,4.520460802488973
62,favorivano,4.520460802488973
63,impediva,4.520460802488973
64,preposto,4.520460802488973
65,imitava,4.520460802488973
66,accommodò,4.338139245695018
67,albergo,4.338139245695018
68,pallade,4.338139245695018
69,miracolosi,4.338139245695018
70,continui,4.338139245695018
71,arrigo,4.338139245695018
72,continuandosi,4.338139245695018
73,spighe,4.338139245695018
74,premiò,4.338139245695018
75,vola,4.338139245695018
76,vegga,4.338139245695018
77,grandissima,4.207532688632199
78,ripari,4.18398856586776
79,nascono,4.18398856586776
80,portone,4.18398856586776
81,artiglierie,4.18398856586776
82,fresco,4.128925571450126
83,giunone,4.050457173243238
84,iddio,4.050457173243238
85,scuro,4.005528659755964
86,concorrenza,3.9735279770630814
87,arrivare,3.932674137586854
88,divise,3.932674137586854
89,andari,3.932674137586854
90,bentivogli,3.8273136219290276
91,grandezze,3.8273136219290276
92,trevisi,3.8273136219290276
93,cerere,3.732003442124703
94,contrafece,3.732003442124703
95,cavati,3.732003442124703
96,debole,3.732003442124703
97,bastioni,3.732003442124703
98,merito,3.732003442124703
99,chiaro,3.7064651918140363
100,colorito,3.6516672434378075
101,quattrocento,3.644992065135073
102,riconosciuto,3.644992065135073
103,abbasso,3.644992065135073
104,giudicata,3.644992065135073
105,ricevono,3.5649493574615367
106,parendoli,3.5649493574615367
107,trento,3.5649493574615367
108,riportò,3.5649493574615367
109,servigi,3.5649493574615367
110,tazza,3.4908413853078146
111,passava,3.4908413853078146
112,disegnati,3.4908413853078146
113,piace,3.4908413853078146
114,ingegnosi,3.4908413853078146
115,vinegia,3.4218485138208634
116,volando,3.4218485138208634
117,viveva,3.4218485138208634
118,quadro,3.374494916865514
119,bolognesi,3.3573099926832923
120,inghilterra,3.3573099926832923
121,abitazione,3.3573099926832923
122,nasce,3.3573099926832923
123,bacco,3.3573099926832923
124,case,3.3511028373391314
125,meritano,3.2966853708668573
126,luna,3.239526957026909
127,apollo,3.239526957026909
128,onori,3.239526957026909
129,coloriti,3.185459735756633
130,saglie,3.185459735756633
131,fortificazioni,3.185459735756633
132,colorì,3.185459735756633
133,indietro,3.185459735756633
134,quantunque,3.185459735756633
135,madonna,3.1732078653061393
136,santi,3.1732078653061393
137,pulitezza,3.134166441369082
138,proprie,3.134166441369082
139,nuvole,3.134166441369082
140,avviene,3.134166441369082
141,furia,3.134166441369082
142,alte,3.134166441369082
143,baldassarre,3.134166441369082
144,pittori,3.1103754728393813
145,condottosi,3.0853762771996505
146,ingiuria,3.0853762771996505
147,rimasero,3.0853762771996505
148,cominciate,3.0853762771996505
149,dimorando,3.0853762771996505
150,arca,3.0388562615647574
151,padoa,3.0388562615647574
152,fregi,2.994404498993924
153,patria,2.9903394533868752
154,salire,2.951844884575128
155,pensò,2.9110228900548725
156,testa,2.8955349755977076
157,domenico,2.8771016653878596
158,condotto,2.8771016653878596
159,padrone,2.8718021769015913
160,parendo,2.8718021769015913
161,storia,2.8407370272214787
162,cappella,2.8227996872559578
163,cento,2.7976942047478692
164,salvatore,2.7976942047478692
165,dovere,2.7976942047478692
166,vago,2.7626028849365993
167,ieronimo,2.7626028849365993
168,certamente,2.7626028849365993
169,doni,2.7626028849365993
170,grandemente,2.7626028849365993
171,diede,2.735449560250635
172,cartone,2.7287013332609185
173,estrema,2.7287013332609185
174,ritornato,2.7287013332609185
175,imprese,2.7287013332609185
176,gradi,2.664162812123347
177,fosse,2.664162812123347
178,viene,2.5745506534336595
179,chiese,2.5745506534336595
180,grazie,2.5463797764669636
181,contento,2.518980802278849
182,commodità,2.518980802278849
183,rare,2.518980802278849
184,conte,2.492312555196688
185,tenendo,2.492312555196688
186,farne,2.466337068793427
187,cardinal,2.466337068793427
188,guerra,2.441019260809137
189,invidia,2.4163266482187655
190,amicizia,2.4163266482187655
191,altrui,2.4163266482187655
192,mostrando,2.392229096639705
193,virtuosi,2.345709081004812
194,doveva,2.323236225152754
195,provisione,2.3012573184339784
196,ordinò,2.3012573184339784
197,onorata,2.279751113213015
198,sanese,2.279751113213015
199,cortile,2.279751113213015
200,spedale,2.279751113213015
201,toscana,2.2586977040151828
202,scudi,2.2586977040151828
203,tra,2.2380784168124466
