,term,score
0,posta,12.754996943073575
1,livio,12.662214378742055
2,murato,10.063648410481534
3,bene,9.801970363642592
4,rilievo,9.7295402411552
5,pur,8.859134881720607
6,uno,8.794443444738203
7,pare,8.503798883713642
8,foglio,8.343245880035312
9,talvolta,7.991464547107982
10,sta,7.852605368000159
11,potrete,7.532315663818982
12,pensare,7.384099719511538
13,sua,7.1539145804622715
14,cavaliere,7.075798359857021
15,qualche,7.06363698841593
16,tanto,7.025584843470579
17,qua,6.971322012415669
18,pietro,6.808735574607976
19,chiamarono,6.736572297479192
20,maneggiata,6.736572297479192
21,maneggiati,6.736572297479192
22,abbozzato,6.736572297479192
23,abbonda,6.736572297479192
24,empier,6.736572297479192
25,aqquista,6.736572297479192
26,205,6.736572297479192
27,restavi,6.736572297479192
28,raccomandatemegli,6.736572297479192
29,compiere,6.736572297479192
30,vangelii,6.736572297479192
31,miglorarlo,6.736572297479192
32,discostato,6.736572297479192
33,discernevisi,6.736572297479192
34,gon,6.736572297479192
35,cautela,6.736572297479192
36,temperare,6.736572297479192
37,ritocco,6.736572297479192
38,poveramente,6.736572297479192
39,santidita,6.736572297479192
40,santiditato,6.736572297479192
41,piastra,6.736572297479192
42,sollecitatelo,6.736572297479192
43,traditori,6.736572297479192
44,sono,6.670672381035842
45,voi,6.658113501017171
46,una,6.546823478619974
47,piace,6.510664416287001
48,punto,6.450053717296342
49,proposito,6.420423545726061
50,star,6.391225946883756
51,ridurlo,6.331107189371028
52,aiutatelo,6.331107189371028
53,borra,6.331107189371028
54,dirvelo,6.331107189371028
55,vecchiaia,6.331107189371028
56,sperava,6.331107189371028
57,discosti,6.331107189371028
58,gran,6.108275795060327
59,però,6.081126288500574
60,id,6.043425116919247
61,mandatavi,6.043425116919247
62,ongni,6.043425116919247
63,acerbo,6.043425116919247
64,sepultura,6.043425116919247
65,sospetti,6.043425116919247
66,mantenercelo,6.043425116919247
67,gusti,6.043425116919247
68,decina,6.043425116919247
69,tavola,5.974136443097642
70,un,5.968733091826843
71,lo,5.916307701805641
72,qualcosa,5.882166216613995
