,term,score
0,lazzaro,71.29898714923074
1,vasi,17.71106930745077
2,giorgio,16.9908191607976
3,arezzo,15.401648764256858
4,vasari,15.117247609596664
5,pieve,9.292944900611015
6,vecchi,8.952313667249786
7,barde,8.676278491390036
8,borghese,8.676278491390036
9,gonfalone,8.36797713173552
10,aretino,8.347389788354093
11,francesca,7.654627243858055
12,potrei,7.654627243858055
13,maraviglio,7.654627243858055
14,esercizio,7.3990112063802815
15,piene,7.176687289919116
16,costumava,7.1298987149230735
17,famiglia,7.041803449824208
18,aretini,6.981682770615629
19,drappo,6.843697027641727
20,parlare,6.714619985366585
21,benissimo,6.610247601779468
22,piè,6.594219246596243
23,certo,6.432440551496132
24,sepolcro,6.422744005076397
25,piccole,6.346415730612279
26,finestre,6.106662458102919
27,donde,5.988808997987848
28,passati,5.988808997987848
29,maggiori,5.866534335082308
30,cittadini,5.7756182865963215
31,maschi,5.743604353803183
32,cagione,5.6455993745119155
33,cortona,5.525205769873199
34,dono,5.525205769873199
35,imprese,5.457402666521837
36,armargli,5.436751534363128
37,trattole,5.436751534363128
38,partes,5.436751534363128
39,tellus,5.436751534363128
40,clarissima,5.436751534363128
41,tirossi,5.436751534363128
42,taceat,5.436751534363128
43,coronano,5.436751534363128
44,dedito,5.436751534363128
45,stracciate,5.436751534363128
46,indegna,5.436751534363128
47,lodandolo,5.436751534363128
48,introduzzione,5.436751534363128
49,accomodavano,5.436751534363128
50,sofferisca,5.436751534363128
51,tenuique,5.436751534363128
52,sepolti,5.436751534363128
53,exultet,5.436751534363128
54,operum,5.436751534363128
55,myrmecides,5.436751534363128
56,rebus,5.436751534363128
57,possis,5.436751534363128
58,angustis,5.436751534363128
59,calciarella,5.436751534363128
60,rapiva,5.436751534363128
61,callicrates,5.436751534363128
62,industriosa,5.436751534363128
63,pruovo,5.436751534363128
64,labor,5.436751534363128
65,inavertentemente,5.436751534363128
66,aretii,5.436751534363128
67,tacci,5.436751534363128
68,chiarissimi,5.436751534363128
69,ratiene,5.436751534363128
70,mi,5.397496123910227
71,famoso,5.207076380613824
72,attendendo,5.037961604557698
73,1452,5.0312864262549635
74,esprimeva,5.0312864262549635
75,sileat,5.0312864262549635
76,argutissimo,5.0312864262549635
77,namque,5.0312864262549635
78,umilità,5.0312864262549635
79,raccomandano,5.0312864262549635
80,72,5.0312864262549635
81,piccino,5.0312864262549635
82,vix,5.0312864262549635
83,crudelissimo,5.0312864262549635
84,armamenti,5.0312864262549635
85,commettergli,5.0312864262549635
86,tremi,5.0312864262549635
87,fermamente,5.0312864262549635
88,compiaceva,4.743604353803183
89,strignendo,4.743604353803183
90,istius,4.743604353803183
91,arnesi,4.743604353803183
92,castiglione,4.743604353803183
93,sferza,4.743604353803183
94,stimolo,4.743604353803183
95,freno,4.743604353803183
96,ristretto,4.743604353803183
97,cappellina,4.743604353803183
98,ragioneremo,4.743604353803183
99,tremito,4.743604353803183
100,nato,4.737397198459022
101,spalle,4.602514636867957
102,urbinate,4.520460802488973
103,laurati,4.520460802488973
104,pestilenza,4.520460802488973
105,voltando,4.520460802488973
106,aggiugneva,4.520460802488973
107,digrignando,4.520460802488973
108,riporre,4.520460802488973
109,1484,4.520460802488973
110,cuocere,4.520460802488973
111,recatosi,4.520460802488973
112,porsena,4.520460802488973
113,cognoscere,4.520460802488973
114,vergognarsi,4.520460802488973
115,antiquità,4.520460802488973
116,passassi,4.520460802488973
117,vestimenta,4.520460802488973
118,abitavano,4.520460802488973
119,accresciuto,4.520460802488973
120,sassoli,4.520460802488973
121,68,4.520460802488973
122,soldati,4.476156833624893
123,predella,4.476156833624893
124,continuamente,4.3961461643974955
125,buoni,4.3961461643974955
126,antonio,4.343302463396562
127,vergogne,4.338139245695018
128,piagnere,4.338139245695018
129,durata,4.338139245695018
130,pochissima,4.338139245695018
131,felicissima,4.338139245695018
132,oneste,4.338139245695018
133,fabiano,4.338139245695018
134,misture,4.338139245695018
135,conseguente,4.338139245695018
136,truovano,4.338139245695018
137,io,4.315652498081789
