,term,score
0,cremona,80.6412740146541
1,girolamo,79.16327648401666
2,benvenuto,78.37207228461875
3,milano,60.4041418539716
4,ferrara,56.640114375540506
5,sofonisba,52.17964789183501
6,giulio,43.93899322418024
7,boccaccino,40.25029141003971
8,dipinse,39.912947190684555
9,fresco,37.160330143051134
10,coreggio,36.163686419911784
11,modana,36.163686419911784
12,vostra,35.394067238281686
13,brescia,34.44582259736125
14,soiaro,32.62050920617877
15,olio,31.238092084511425
16,io,30.209567486572524
17,cremonese,28.461626122819098
18,duomo,27.767192964010157
19,bramantino,27.122764814933838
20,cappella,26.8165970289316
21,parma,25.91621565621527
22,son,24.83508312671057
23,signor,23.959488326547266
24,padre,23.313118087378676
25,mantoa,22.672494791349955
26,lombardia,22.381553637982954
27,bologna,22.030407628657798
28,lavorato,21.483304705783272
29,pordenone,20.9199428293388
30,buon,20.90550399792867
31,avea,20.853714313583957
32,facciata,20.644627857250633
33,madonna,20.625851124489905
34,duca,20.39897832645634
35,quadro,20.246969501193085
36,anch,19.78265773978873
37,quattro,19.437206447014688
38,signore,19.089945162756983
39,alcun,18.67218837881758
40,pavia,18.660017210623515
41,tiziano,18.512257663197904
42,raffaello,18.394392737746823
43,giovambattista,18.224960325675365
44,tribuna,18.22476733214838
45,bresciano,18.081843209955892
46,oliveto,17.632865615951943
47,zecca,17.454206926539072
48,antonio,17.373209853586246
49,stati,17.336240056547858
50,grandi,17.262609992327157
51,reina,17.23081306140955
52,ho,16.87247458432757
53,1566,16.73595426347104
54,sorella,16.575617309619595
55,altobello,16.310254603089383
56,gambaro,16.310254603089383
57,amilcare,16.310254603089383
58,serenissima,16.201828692972953
59,favellato,16.197634785134547
60,gesù,16.074839637624507
61,architettura,15.958708994101336
62,veronese,15.927298678783167
63,veduto,15.866039326530696
64,romano,15.810883928106279
65,ferrarese,15.670832206845411
66,bellissime,15.449312362525017
67,santità,15.447303920601957
68,compagnia,15.427619858318064
69,valentuomo,15.30925448771611
70,sorelle,15.30925448771611
71,teste,15.247285289349822
72,garofalo,15.09385927876489
73,steccata,15.09385927876489
74,palco,14.953875331180127
75,parimente,14.951697266934376
76,ancor,14.951697266934376
77,vidi,14.928013768498811
78,stupefatto,14.928013768498811
79,battista,14.857958707834216
80,bell,14.73182916931547
81,scultore,14.715514190197458
82,profeti,14.64611556485482
83,dette,14.571352875656011
84,fuori,14.570698804611673
85,portato,14.48618993063658
86,mi,14.39332299709394
87,monaci,14.39332299709394
88,studio,14.385508326939298
89,fabriche,14.212191595377067
90,maraviglia,14.185519105867854
91,paulo,14.184196409902794
92,sepoltura,14.184196409902794
93,bernardo,14.074254486028872
94,carpi,13.963365541231259
95,lombardi,13.963365541231259
96,belle,13.849665865598233
97,bellissimo,13.849665865598233
98,ieronimo,13.813014424682997
