,term,score
0,lorenzo,32.876622030005116
1,credi,13.963365541231259
2,andrea,13.72255676041484
3,pulito,11.798022412760561
4,tommaso,11.506286592169893
5,sciarpelloni,10.873503068726256
6,amministrazione,10.873503068726256
7,pulitezza,9.402499324107247
8,lionardo,9.205029273735914
9,castiglioni,8.676278491390036
10,verrocchio,7.1298987149230735
11,quadro,6.748989833731028
12,vinezia,6.653627128484781
13,vinci,6.170752554399301
14,chiara,6.077712523129515
15,perugino,5.5953884094957385
16,consegnò,5.436751534363128
17,purgava,5.436751534363128
18,acconsentito,5.436751534363128
19,arrichire,5.436751534363128
20,pannolino,5.436751534363128
21,benivieni,5.436751534363128
22,gianiacopo,5.436751534363128
23,sieve,5.436751534363128
24,stillavagli,5.436751534363128
25,arcetri,5.436751534363128
26,tavolelle,5.436751534363128
27,macinati,5.436751534363128
28,rendergli,5.436751534363128
29,lasciategli,5.436751534363128
30,instituito,5.436751534363128
31,troppo,5.206348680751905
32,orefice,5.037961604557698
33,bisenzio,5.0312864262549635
34,imitasse,5.0312864262549635
35,incerato,5.0312864262549635
36,conservino,5.0312864262549635
37,maneggio,5.0312864262549635
38,strema,5.0312864262549635
39,somme,5.0312864262549635
40,viziosi,5.0312864262549635
41,apprendeva,5.0312864262549635
42,penava,5.0312864262549635
43,soverchio,5.0312864262549635
44,imitati,5.0312864262549635
45,lelmo,5.0312864262549635
46,tavolella,5.0312864262549635
47,giovane,4.824330413622099
48,lasciò,4.759811797959209
49,netta,4.743604353803183
50,drapperie,4.743604353803183
51,78,4.743604353803183
52,parziale,4.743604353803183
53,negligenza,4.743604353803183
54,spedale,4.55950222642603
55,ei,4.520460802488973
56,25,4.520460802488973
57,liquida,4.520460802488973
58,70,4.520460802488973
59,commise,4.520460802488973
60,movimento,4.520460802488973
61,disegni,4.42781509429665
62,bastiano,4.3961461643974955
63,incredibile,4.3961461643974955
64,andò,4.371209641383501
65,valente,4.357309992683293
66,lontano,4.357309992683293
67,reparata,4.338139245695018
