,term,score
0,andrea,221.08563669557242
1,quadro,65.80265087887753
2,francia,64.02805110558938
3,ottaviano,46.86368742552442
4,re,40.16821214256504
5,iacopo,30.69557729576967
6,servi,28.074888417822375
7,putto,27.59335188597783
8,danari,26.141063730344612
9,testa,26.05981478037937
10,baldo,26.02883547417011
11,cortile,25.077262245343164
12,assedio,24.558311999348266
13,filippo,24.45824514735829
14,simile,23.64032734983799
15,faceva,22.72167297122721
16,ad,22.159465384957173
17,raffaello,22.073271285296187
18,lavorare,21.88359648200508
19,bracci,21.747006137452512
20,scalzo,21.38969614476922
21,baccio,21.11138172904331
22,medici,20.93237617370813
23,frate,20.523612710173538
24,giuseppo,19.730696550347417
25,magnifico,19.710156315634016
26,figliuolo,19.148146921754442
27,sarebbe,18.8209773413851
28,putti,18.814034728737145
29,facesse,18.701160825021088
30,vallombrosa,18.081843209955892
31,zanobi,17.466137340329233
32,stare,17.462195756069832
33,prezzo,17.08713482566396
34,battista,16.98052423752482
35,moglie,16.93263125586343
36,stimato,16.745603676477934
37,villa,16.580890194606578
38,fresco,16.515702285800504
39,colorito,16.432502595470133
40,camera,16.41889016813883
41,nunziata,16.022114639023854
42,disse,15.958708994101336
43,io,15.824059159633228
44,collo,15.768125052507212
45,morto,15.723601840437231
46,portano,15.670832206845411
47,seco,15.64409156021949
48,storia,15.624053649718133
49,natura,15.624053649718133
50,salvi,15.30925448771611
51,giulio,15.283128077975734
52,rispose,15.278278658801781
53,piazza,15.07996276802609
54,sé,14.951354995031497
55,volle,14.873057104003804
56,finita,14.664596208110064
57,finito,14.60666897375123
58,duca,14.570698804611673
59,averebbe,14.555114450274363
60,punto,14.499284811094103
61,bello,14.477674877988537
62,ritrasse,14.472991240866296
63,tenuta,14.472991240866296
64,pavolo,14.230813061409549
65,mantoa,14.17030924459372
66,pare,14.089954711097135
67,compagnia,14.025108962107332
68,scuro,14.019350309145873
69,peste,13.988471023739347
70,gallo,13.939417350916523
71,convento,13.907347919720785
72,tiene,13.907347919720785
73,dono,13.813014424682997
74,spavento,13.687394055283454
75,farebbe,13.643506666304592
76,carità,13.643506666304592
77,poteva,13.497979667462056
78,quattro,13.456527540240938
79,dei,13.372737068228767
80,aria,13.311924770147918
81,bigio,13.18674148346743
82,sansovino,13.166955767282966
83,salviati,13.166955767282966
84,avanzati,13.014417737085054
85,barile,13.014417737085054
86,chiaro,12.972628171349127
87,glielo,12.958107828107636
88,cenacolo,12.958107828107636
89,giorno,12.952313667249788
90,panni,12.876074916422777
91,certi,12.864765142175916
92,quadri,12.778393774158541
93,dato,12.622598065896598
94,stati,12.608174586580262
95,accommodate,12.55196569760328
96,pittori,12.441501891357525
97,commesso,12.341505108798602
98,fa,12.232926814116679
99,dicendo,12.205096304045684
100,vivace,12.15542504625903
101,abramo,12.151371519729715
102,giovani,12.114149104498573
103,figura,12.039407213110419
104,volentieri,12.01658597926789
105,conti,11.977617995975695
106,siede,11.977617995975695
107,ancor,11.961357813547501
108,fuor,11.961357813547501
109,quest,11.810732209029299
110,ritraesse,11.798022412760561
111,appoggiato,11.798022412760561
112,sarto,11.64409156021949
113,canto,11.567933303114069
114,su,11.508406661551438
115,varietà,11.506286592169893
116,ignudo,11.506286592169893
117,cardinale,11.41062331214966
118,solo,11.362948108885915
119,amici,11.256770965118232
120,eccellenti,11.256770965118232
121,accompagnano,11.196010326374108
122,colorire,11.190392084062232
123,anzi,11.181094552388723
124,madonna,11.106227528571488
125,esser,11.079732692478586
126,certamente,11.050411539746397
127,palla,11.050411539746397
128,bastiano,10.99036541099374
129,leone,10.99036541099374
130,frati,10.958853664186663
131,diede,10.94179824100254
132,garzone,10.93497619540522
133,vecchia,10.893274981708231
134,volute,10.873503068726256
135,giurò,10.873503068726256
