,term,score
0,giulio,221.60535713064814
1,mantova,74.5091200116189
2,raffaello,44.14654257059237
3,gostantino,41.05203786337173
4,giganti,32.80492858621566
5,psiche,30.61850897543222
6,giove,30.388562615647572
7,rinaldo,28.461626122819098
8,quadro,25.308711876491355
9,disegni,23.615013836248803
10,marchese,22.97441741521273
11,giovanfrancesco,21.86995239081044
12,duca,21.85604820691751
13,sta,21.5106258953018
14,monti,20.143859956099753
15,pagni,20.125145705019854
16,mantovano,19.66337068793427
17,stanza,19.607894967074817
18,cardinale,19.5610685351137
19,cavalli,18.410058547471827
20,pescia,18.224960325675365
21,salvestro,18.224960325675365
22,sala,18.124106013867628
23,istampa,16.73595426347104
24,camino,16.483426854334287
25,stucchi,16.419963567033683
26,nero,16.37220799956551
27,benedetto,15.768125052507212
28,olio,15.619046042255713
29,leone,15.386511575391234
30,stanze,14.986402678511592
31,cielo,14.771361106718402
32,vanno,14.607932129619662
33,clemente,14.366528897121476
34,finestre,14.248879068906811
35,fulmini,14.230813061409549
36,federigo,13.813014424682997
37,fresco,13.763085238167088
38,adriano,13.687394055283454
39,edifizii,13.643506666304592
40,sileno,13.561382407466919
41,quattro,13.456527540240938
42,posto,13.372737068228767
43,stanno,13.307254256969562
44,papi,13.18674148346743
45,dipinte,13.071929978049878
46,lontano,13.071929978049878
47,molle,13.014417737085054
48,castiglioni,13.014417737085054
49,grandi,12.946957494245368
50,carro,12.741838943026533
51,loggia,12.627282145127545
52,pare,12.524404187641899
53,conte,12.461562775983438
54,invenzione,12.359449890020013
55,doppo,12.341505108798602
56,fa,12.232926814116679
57,nicchie,12.081633241093828
58,capra,11.798022412760561
59,muraglia,11.64409156021949
60,fabbrica,11.487208707606365
61,morto,11.435346793045259
62,storia,11.362948108885915
63,basso,11.333274458843565
64,putti,11.288420837242288
65,giovane,11.256770965118232
66,dovere,11.190776818991477
67,venere,11.050411539746397
68,stampate,10.93497619540522
69,tevere,10.93497619540522
70,dedalo,10.873503068726256
71,buschetta,10.873503068726256
72,solare,10.873503068726256
73,matilda,10.873503068726256
74,razza,10.873503068726256
75,bellissime,10.81451865376751
76,re,10.81451865376751
77,uso,10.794992247820455
78,commodi,10.69484807238461
79,strade,10.69484807238461
80,proprio,10.612827648453012
81,addosso,10.533564613826373
82,penne,10.472524155923445
83,orribile,10.472524155923445
84,medici,10.466188086854064
85,piedi,10.41269736150381
86,quest,10.123484750596543
87,asino,10.071929978049877
88,misero,10.071929978049877
89,bacco,10.071929978049877
90,massenzio,10.062572852509927
91,guisoni,10.062572852509927
92,icaro,10.062572852509927
93,percossi,10.062572852509927
