,term,score
0,mino,105.65701495135423
1,desiderio,18.22476733214838
2,marmo,18.059110819665626
3,fiesole,16.37220799956551
4,sepoltura,15.760218233225327
5,naturali,11.293488520075915
6,tenervi,10.873503068726256
7,natura,9.942579595275175
8,facci,9.487208707606365
9,reame,9.487208707606365
10,studiato,8.100914346486476
11,cassa,7.90017346036978
12,simile,7.8801091166126636
13,conte,7.4769376655900635
14,rilievo,7.427539078908504
15,settignano,6.843697027641727
16,pietre,6.776093112045548
17,pergamo,6.714619985366585
18,imitazione,6.593370741733715
19,ferma,6.479053914053818
20,sacramento,6.370919471513266
21,badia,6.313641072563772
22,profitto,6.170752554399301
23,tabernacolo,6.057074552249286
24,andò,5.828279521844669
25,perfezione,5.822045780109745
26,sagramento,5.743604353803183
27,putti,5.644210418621144
28,destovilla,5.436751534363128
29,diedono,5.436751534363128
30,arebbon,5.436751534363128
31,madeborgo,5.436751534363128
32,composizion,5.436751534363128
33,ritrattovi,5.436751534363128
34,1486,5.436751534363128
35,sotterrata,5.436751534363128
36,alogazione,5.436751534363128
37,dietisalvi,5.436751534363128
38,squadrar,5.436751534363128
39,veneziano,5.436751534363128
40,desiderose,5.436751534363128
41,verisimili,5.436751534363128
42,prattico,5.436751534363128
43,ite,5.436751534363128
44,mdxlvii,5.436751534363128
45,satisfatte,5.436751534363128
46,baglione,5.436751534363128
47,abandonando,5.436751534363128
48,isté,5.436751534363128
49,ribi,5.436751534363128
50,manifestissimamente,5.436751534363128
51,tritati,5.436751534363128
52,cert,5.436751534363128
53,piegheggiare,5.436751534363128
54,1600,5.436751534363128
55,vescovo,5.243616240747576
56,mestiero,5.207076380613824
57,tondo,5.169538402976461
58,graziato,5.0312864262549635
59,rimurare,5.0312864262549635
60,tolsono,5.0312864262549635
61,mantenere,5.0312864262549635
62,squadrate,5.0312864262549635
63,scegliendo,5.0312864262549635
64,calcinacci,5.0312864262549635
65,pigliandola,5.0312864262549635
66,fai,5.0312864262549635
67,sufficienza,5.0312864262549635
68,salutati,5.0312864262549635
69,veneziani,5.0312864262549635
70,dino,5.0312864262549635
71,trapassi,5.0312864262549635
72,simili,5.0266542560086975
73,eglino,4.984625110393376
74,dritta,4.743604353803183
75,ridussono,4.743604353803183
76,bisognavano,4.743604353803183
77,arrivano,4.743604353803183
78,guardarsi,4.743604353803183
79,sufficiente,4.743604353803183
80,schietta,4.743604353803183
81,calda,4.743604353803183
82,fabricanti,4.743604353803183
83,invaghito,4.743604353803183
84,imita,4.743604353803183
85,1481,4.743604353803183
86,dubio,4.743604353803183
87,lionardo,4.602514636867957
88,teste,4.574185586804946
89,spedale,4.55950222642603
90,inutile,4.520460802488973
91,piaccia,4.520460802488973
92,pariete,4.520460802488973
93,diventare,4.520460802488973
94,sodisfaceva,4.520460802488973
95,accordata,4.520460802488973
96,rimasta,4.520460802488973
97,giugni,4.520460802488973
98,usar,4.520460802488973
99,posono,4.520460802488973
100,figura,4.514777704916407
101,feciono,4.476156833624893
102,desiderosi,4.338139245695018
103,neroni,4.338139245695018
104,arditamente,4.338139245695018
105,andorono,4.338139245695018
106,fanciullesca,4.338139245695018
107,saprei,4.338139245695018
108,uberto,4.338139245695018
109,avanzati,4.338139245695018
110,calonaca,4.338139245695018
111,morto,4.2882550473919725
112,lorenzo,4.2882550473919725
113,possa,4.245131059381205
114,cappella,4.234199530883936
115,antichissima,4.18398856586776
116,dessero,4.18398856586776
117,privilegii,4.18398856586776
118,lire,4.18398856586776
119,donne,4.138911408753309
120,messa,4.1047225420347075
121,figliuolo,4.103174340375952
122,ridotte,4.050457173243238
123,apprese,4.050457173243238
124,avenuto,4.050457173243238
125,studiano,4.050457173243238
126,ugo,4.050457173243238
127,studia,4.050457173243238
128,strettamente,4.050457173243238
129,collo,3.942031263126803
130,instanza,3.932674137586854
131,eredità,3.932674137586854
132,reliquia,3.932674137586854
133,dagl,3.8504121910642146
134,cercano,3.8273136219290276
135,drentovi,3.8273136219290276
136,costò,3.8273136219290276
137,bara,3.8273136219290276
138,onorarlo,3.8273136219290276
139,muovere,3.8273136219290276
140,tornabuoni,3.8273136219290276
141,tuo,3.732003442124703
142,aiuti,3.732003442124703
143,onorevole,3.732003442124703
144,tolte,3.732003442124703
145,dimandò,3.732003442124703
146,panni,3.6788785475493646
147,scultore,3.6788785475493646
148,care,3.644992065135073
149,avvenga,3.644992065135073
150,santissima,3.644992065135073
151,diletta,3.644992065135073
152,aiutando,3.644992065135073
153,bozza,3.644992065135073
154,salendo,3.644992065135073
155,insegnava,3.644992065135073
156,vedendolo,3.644992065135073
157,monaci,3.598330749273485
158,pietro,3.598330749273485
159,girolamo,3.598330749273485
160,buone,3.598330749273485
161,nostri,3.572186586138779
162,lavorata,3.572186586138779
163,ambruogio,3.5649493574615367
164,toglie,3.5649493574615367
165,fondato,3.5649493574615367
166,affaticò,3.5649493574615367
167,pontificale,3.5649493574615367
168,parendoli,3.5649493574615367
169,sur,3.5649493574615367
170,stettono,3.5649493574615367
171,passasse,3.5649493574615367
172,arme,3.5463797764669636
173,vicino,3.520901724912104
174,parecchi,3.4908413853078146
175,apunto,3.4908413853078146
176,disgrazia,3.4908413853078146
177,sepellito,3.4908413853078146
178,solamente,3.4463589353176407
179,com,3.4218485138208634
180,borghini,3.4218485138208634
181,dello,3.374494916865514
182,fattogli,3.3573099926832923
183,innocenzio,3.3573099926832923
184,guglielmo,3.3573099926832923
185,onorevolmente,3.3573099926832923
186,commesse,3.3573099926832923
187,necessario,3.3573099926832923
188,segue,3.3573099926832923
189,preti,3.3573099926832923
190,finì,3.3279811925369795
191,corpo,3.305123800889734
192,errori,3.2966853708668573
193,credono,3.2966853708668573
194,disperato,3.2966853708668573
195,allogazione,3.2966853708668573
196,osservanza,3.2966853708668573
197,diligentemente,3.2966853708668573
198,effigie,3.2966853708668573
199,cardinale,3.260178089185617
200,camina,3.239526957026909
201,perfette,3.239526957026909
202,però,3.238078416812447
203,tenuta,3.216220275748066
204,ritrasse,3.216220275748066
205,affermano,3.185459735756633
206,conoscono,3.185459735756633
207,avessino,3.185459735756633
208,cercava,3.185459735756633
209,esercitò,3.185459735756633
210,bramante,3.185459735756633
211,passa,3.185459735756633
212,abate,3.134166441369082
213,figurette,3.134166441369082
214,stesso,3.1103754728393813
215,maestri,3.1103754728393813
216,murato,3.0853762771996505
217,stimata,3.0853762771996505
218,ritornò,3.0853762771996505
219,udienza,3.0853762771996505
220,ingiuria,3.0853762771996505
221,collocata,3.0853762771996505
222,carrara,3.0853762771996505
223,ii,3.0853762771996505
224,illustri,3.0853762771996505
