,term,score
0,cristofano,272.28706255423066
1,vasari,110.13994686991855
2,ovato,81.00914346486476
3,festoni,37.609997296428986
4,giorgio,35.680720237674954
5,duca,33.51260725060685
6,parapetto,33.47190852694208
7,finestre,32.56886644321557
8,borgo,31.05025993292898
9,braccia,30.15992553605218
10,sforza,28.6691376218097
11,calze,28.461626122819098
12,sette,28.148508972057744
13,giustino,27.122764814933838
14,avea,26.5410909445614
15,castello,25.945256342698254
16,carro,25.483677886053066
17,battista,25.470786356287228
18,palle,23.952939596746045
19,lattanzio,23.718021769015913
20,mattina,23.70052038110934
21,putti,22.576841674484577
22,doceno,21.747006137452512
23,stanze,21.40914668358799
24,dirittura,21.38969614476922
25,quadri,20.76488988300763
26,voi,20.662914192025898
27,rovescio,20.53109108292518
28,cappa,20.25228586621619
29,alessandro,20.19024850749762
30,iustino,20.125145705019854
31,fregio,19.960881385454343
32,ebrei,19.66337068793427
33,nicchie,19.330613185750124
34,ovati,19.13656810964514
35,andò,18.941908445995175
36,abate,18.804998648214493
37,stefano,18.78162702379671
38,quadro,18.559722042760328
39,banda,18.53232595907018
40,camera,18.471251439156184
41,raffaello,18.394392737746823
42,giove,18.233137569388546
43,andare,17.991653746367426
44,fresco,17.892010809617215
45,apparato,17.632865615951943
46,anch,17.584584657589982
47,sostenuto,17.454206926539072
48,disegnato,17.26435948155399
49,inginocchiate,16.73595426347104
50,ambidue,16.483426854334287
51,sala,16.311695412480866
52,innanzi,16.311695412480866
53,adria,16.310254603089383
54,giunone,16.201828692972953
55,bologna,16.022114639023854
56,eccellenza,15.958708994101336
57,pianeti,15.730696550347416
58,colle,15.670832206845411
59,segno,15.666548917687127
60,vinezia,15.52512996646449
61,fregiatura,15.30925448771611
62,scena,15.30925448771611
63,lago,15.30925448771611
64,facciata,15.139393761983797
65,dattero,15.09385927876489
66,borghesi,15.09385927876489
67,messo,14.975915366416409
68,canto,14.873057104003804
69,paio,14.579968260540292
70,fiori,14.555114450274363
71,dipignere,14.472991240866296
72,signor,14.37569299592836
73,mandò,14.288746344555117
74,facea,14.259797429846147
